COUNDON RESERVOIR,,,,,,,,,,,,,,,,,,,,
Grid ref,SP319808,Long,-1.532319,Lat,52.424262,Elevation,377,ft,,,,,,,,,,,,
Station no,2467/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.48,1.43,0.47,2.57,2.28,1.04,1.06,2.41,4.56,1.47,2.82,3.86,5
February,,,,,,,,1.17,0.85,4.8,3.15,0.48,1.54,2.68,2.07,0.67,2.88,3.23,0.07,1.85
March,,,,,,,,0.95,1.78,1.43,4.02,2.66,1.44,2.49,2.86,0.81,2.28,1.61,1.86,1.5
April,,,,,,,,1.48,1.99,1.94,2.25,2.47,2.18,0.4,1.13,0.77,0.3,0.97,2.81,0.97
May,,,,,,,,2.81,2.82,1.75,3.31,2.89,1.56,2.5,4.79,0.73,1.43,2.02,0.67,1.34
June,,,,,,,,1.99,0.19,1.36,1.63,1.72,2.16,3.1,3.13,2.78,2.1,5.18,0.98,4.03
July,,,,,,,,1.7,2.25,2.65,1.58,0.32,3.07,3.66,0.68,2.86,3.85,4.22,1.3,3.9
August,,,,,,,,4.63,1.16,3,6.07,4.6,2.83,4.3,0.58,4.88,2.4,2.6,1.4,3.19
September,,,,,,,,3.63,1.63,3.89,1.9,1.49,1.88,2.36,1.39,2.04,4.11,3.34,0.05,4.21
October,,,,,,,,2.75,5.71,0.65,0.85,4.09,2.8,4,1.53,1.78,1.31,2.96,2.72,5.64
November,,,,,,,,1.52,2.89,3.83,6.73,2.2,1.86,5.69,2.07,0.72,1.59,2.13,3.11,4.24
December,,,,,,,,3.85,1.42,1.78,1.94,2.54,0.99,2.02,2.3,3.16,2.29,2.84,4.23,3.65
Total,,,,,,,,30.96,24.12,27.55,36,27.74,23.35,34.26,24.94,25.76,26.01,33.92,23.06,39.52
,,,,,,,,,,,,,,,,,,,,
10164,COUNDON RESR ,01/01/1948,31/12/1964,,,,,,,,,,,,,,,,,
