"MANSFIELD HIGH OAKHAM",,,,,,,,,,,,
Grid ref,SK536590,Long,-1.200462,Lat,53.125483,,,,,,,
Station no,RR4397,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.75,1.71,1.35,2.54,2.88,1.19,4.42,1.15,1.13,1.14,,
February,5.14,1.66,2.70,1.23,5.31,1.42,3.23,3.07,2.02,0.80,,
March,1.06,3.12,1.49,4.26,2.76,3.32,2.97,0.60,3.09,4.41,,
April,1.22,1.23,2.84,2.07,1.43,2.26,0.68,2.52,2.79,1.80,,
May,1.56,1.19,2.91,3.91,1.73,0.75,2.10,4.31,2.52,1.55,,
June,3.71,2.16,1.58,1.03,0.35,3.56,2.57,4.22,2.74,3.39,,
July,2.07,5.69,1.55,3.16,1.94,1.89,0.59,2.84,2.86,5.01,,
August,5.28,2.06,2.96,5.38,4.02,3.38,1.44,2.65,4.12,3.91,,
September,0.63,1.34,1.80,4.02,1.60,1.58,1.31,0.77,2.68,3.00,,
October,2.92,1.70,3.53,7.10,0.33,1.28,6.95,6.60,0.91,4.76,,
November,2.71,3.07,1.89,2.62,1.36,3.21,3.54,2.37,1.47,0.72,,
December,4.07,7.31,2.15,1.76,1.59,0.43,3.02,3.02,3.02,5.94,,
Total,35.12,32.24,26.75,39.08,25.30,24.27,32.82,34.12,29.35,36.43,,
Calc annual,35.12,32.24,26.75,39.08,25.30,24.27,32.82,34.12,29.35,36.43,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
