CHORLEY WITHNELL HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SD621231,Long,-2.5755723,Lat,53.702947,Elevation,545,ft,,,,,,,,,,,,
Station no,RR4332,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.95,2.08,7.01,3.67,0.75,1.48,0.72,3.5,5.62,4.65,2.14,5.79,2.66,1.81,
February,,,,,,0.94,4.33,4.33,2.2,4.05,3.05,5.13,2.19,3.94,4.1,3.46,0.88,1.78,0.64,
March,,,,,,1.05,3.68,4.17,1.59,2.32,2,3.29,5.28,1.56,3.72,2.56,2.67,2.47,4.06,
April,,,,,,1.12,3.26,2.63,1.67,2.33,2.59,1.22,5.62,2.52,1.07,2.98,2.44,2.02,1.86,
May,,,,,,2.84,0.8,3.74,5.46,2.5,2.13,5.86,2.94,0.57,2.19,1.75,4.34,2.3,0.47,
June,,,,,,3.82,2.94,2.84,3.81,4.06,4.1,2.95,5.13,4.8,1.52,3.63,2.54,0.88,3.38,
July,,,,,,6.24,4.09,6.62,1.27,6.51,6.86,5.22,6.12,2.74,5.41,2.07,5,1.79,7.62,
August,,,,,,2.57,5.55,6.67,6.66,8.42,2.05,6.35,6.1,2.64,1.59,1.79,2.07,1.89,4.67,
September,,,,,,5.26,4.7,3.68,6.78,3.54,4.74,2.31,2.3,6.56,3.89,4.43,4.67,6.19,1.97,
October,,,,,,4.87,2.61,3.92,5.7,3.13,3.83,2.86,3.32,5.18,3.09,5.65,5.68,2.22,2.05,
November,,,,,,4.1,4.08,6.97,3.01,1.03,5.38,4.79,6.57,3.76,1.56,3.21,2.98,2.11,6.41,
December,,,,,,1.93,5.19,4.65,2.51,1.47,6.65,5.89,4.29,3.65,5.6,2.4,6.33,2.83,2.73,
Total,,,,,,39.69,43.31,57.23,44.33,40.11,44.86,46.59,53.36,43.54,38.39,36.07,45.39,29.14,37.67,
,,,,,,,,,,,,,,,,,,,,
Observer was J. Shackleton,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,
