BURTON-ON-TRENT-OUTWOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK227240,Long,-1.664655,Lat,52.81307,Elevation,310,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2360/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.86,3.9,3.37,3.17,4.75,3.12,2.71,2.77,3.95,2.75,1.76,2.45,1.75,4.45,1.22,0.9,2.03,2.25,0.91,1,1.9,3.36,1.3,2.28,2.91,5.95
February,,,,,2.08,1.98,4.19,0.72,1.15,2.92,2.66,0.97,0.66,1.51,2.59,4.44,2.13,1.35,0.68,4.32,2.55,0.7,1.55,2.4,1.93,0.88,1.91,3.68,0.26,1.56
March,,,,,0.7,1.49,2.23,0.34,1.53,2.15,3.14,2.18,0.88,0.25,0.82,0.86,5.57,0.77,1.65,0.92,3.84,2.54,1.07,1.69,2.75,1.41,2.22,1.79,1.71,1.57
April,,,,,2.81,1.89,2.21,0.17,1.86,1.89,1.43,1.16,0.69,2.33,1.52,1.24,2.01,1.7,2.76,2.26,1.95,2.14,2.25,0.59,1.38,1.19,0.17,0.65,2.67,1.07
May,,,,,0.47,0.26,2.4,1.62,1.5,1.39,2.46,3.48,3,1.48,2.42,1.87,1.95,1.66,2.25,1.42,2.83,3.07,1.95,2.54,3.32,0.66,0.81,1.87,0.35,1.56
June,,,,,3.21,2.94,0.73,1.69,1.08,0.84,2.18,0.15,2.46,1.98,3.28,2.96,1.67,3.29,0.21,0.67,1.27,2.86,2.58,2.74,3.63,2.69,1.18,4.19,0.72,3.19
July,,,,,0.46,4.24,2.26,3.32,4.53,2.33,3.7,1.83,1,2.79,2.76,1.23,2.46,1.91,3.74,1.75,0.9,1.78,2.72,2.24,0.59,3.23,3.49,4.56,2.36,3.34
August,,,,,1.32,1,0.75,2.19,2.36,0.29,4.53,2.81,2.65,2.57,1.82,4.48,0.61,4.63,1.68,2.44,5.76,1.52,2.61,4.65,0.78,4.89,3.05,1.75,0.65,3.32
September,,,,,3.43,2.59,2.03,4.3,0.75,0.48,0.45,1.33,1.88,2.74,2.31,4.22,1.58,2.32,1.41,3.63,1.76,1.25,2.31,2.19,1.51,2.29,5.86,2.93,0.09,5.1
October,,,,,3.44,1.74,2.32,2.4,2.96,3.78,3.26,2.58,1.68,2.67,3.56,1.2,0.37,2.33,4.18,1.08,0.69,2.92,2.16,3.29,1.75,1.48,1.54,2.98,2.58,5.71
November,,,,,5.02,2.51,1.9,2.75,4.27,6.7,3.02,1.45,1.8,3.91,0.38,4.68,2.33,1.51,3.22,3.97,5.49,1.45,1.71,4.53,2.22,0.91,2.02,1.86,3.31,2.95
December,,,,,4.22,1.92,2.71,3.26,1.79,2.38,1.13,2.66,1.15,1.7,2.18,2.59,2.29,3.65,2.1,1.79,2.12,2.82,1.4,3.28,1.93,2.72,1.54,3.09,3.45,2.66
Total,,,,,28.02,26.46,27.1,25.93,28.53,28.27,30.67,23.37,21.8,26.68,25.4,32.22,24.72,29.57,25.1,25.15,31.19,25.3,23.22,31.14,23.69,25.71,25.09,31.63,21.06,37.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3125 OUTWOODS RESR Start 1935 and still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is Outwoods Reservoir, the observer was from the Water Company. Altitudes Match. Gauge might be a few metres NW based on the relationship to the pump house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1947 adjusted for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
