"LIMERICK - FOYNES, MOUNT TRENCHARD HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IR221509,Long,-9.151,Lat,52.604,Elevation,104,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913
January,,0.27,2.77,6.24,4.14,3.45,4.50,3.91,2.50,3.24,6.98,2.38,2.70,2.99,5.10,3.08,1.75,2.60,2.99,5.06,3.99,3.65,3.40,5.74,4.54,3.53,6.03,2.33,3.24,4.00,4.85,1.82,3.44,5.63
February,,2.95,3.21,6.00,6.14,3.66,2.25,1.62,1.40,3.54,2.17,0.26,4.14,4.07,3.43,1.40,1.44,1.82,3.55,4.07,3.90,1.16,2.11,3.90,5.03,2.13,4.08,2.36,3.29,1.90,6.39,3.44,2.89,1.27
March,1.49,2.19,4.12,1.60,3.11,2.29,3.50,1.56,3.12,1.36,2.33,2.19,0.77,0.44,2.85,3.08,5.93,5.82,1.12,1.56,1.43,3.28,3.32,6.11,2.64,4.60,3.82,2.04,3.96,3.09,2.53,1.73,4.60,4.98
April,3.94,1.79,4.23,2.47,1.39,1.97,2.50,2.28,1.25,2.51,1.42,2.27,1.15,1.34,3.67,1.55,1.70,5.88,3.80,4.02,2.19,2.99,0.90,2.77,2.89,2.00,1.95,2.74,1.71,4.01,3.88,1.67,1.34,3.45
May,1.02,1.96,1.85,2.70,2.28,2.23,3.50,1.12,3.45,3.00,2.69,2.09,4.08,1.26,2.81,0.84,0.48,1.66,3.64,2.78,1.94,1.58,2.60,2.57,2.30,0.36,3.22,3.59,2.75,1.55,3.50,2.43,1.54,4.43
June,2.15,3.42,4.40,1.77,1.15,1.35,2.20,0.36,3.63,0.66,3.03,2.30,1.58,1.51,2.59,1.50,2.88,6.42,3.07,2.22,4.11,2.61,1.84,1.31,1.71,1.24,2.58,4.57,1.75,2.13,3.14,2.37,8.76,4.08
July,4.79,2.03,4.72,5.07,3.17,2.25,3.20,1.93,6.16,3.20,3.14,1.23,3.31,2.89,3.91,3.13,4.58,2.76,1.21,2.05,2.21,0.85,1.77,5.15,3.67,2.35,3.08,2.02,2.64,3.33,3.48,1.53,5.27,0.90
August,2.47,5.33,4.01,2.82,1.36,4.07,3.21,3.05,2.82,5.54,3.60,7.04,6.32,2.97,4.49,3.55,2.99,5.50,5.45,3.10,6.87,2.96,2.45,4.33,3.61,4.22,3.45,3.86,5.09,1.08,4.18,1.31,4.25,2.17
September,2.66,2.32,2.48,3.83,2.55,4.61,3.52,4.19,1.30,1.98,3.27,2.98,4.54,3.85,0.33,0.89,6.07,3.56,2.80,3.18,1.95,5.06,1.62,3.98,1.81,2.22,1.79,2.83,6.12,2.51,1.09,,0.63,2.68
October,2.55,4.33,4.30,3.57,2.06,5.31,4.31,2.19,2.66,3.90,2.90,4.11,2.35,4.88,4.91,4.68,3.76,3.64,4.35,2.19,5.88,4.20,2.08,5.18,3.00,2.67,5.85,5.70,1.55,6.53,2.05,,3.46,5.16
November,4.45,3.63,6.68,5.95,2.73,3.25,4.45,3.10,4.34,2.22,5.97,2.67,5.07,2.70,4.96,5.56,0.91,5.61,4.06,3.70,6.16,3.52,5.15,3.39,3.10,3.77,2.02,4.54,3.10,2.19,5.31,,3.21,5.53
December,3.78,6.66,5.64,2.07,4.18,1.69,6.15,3.76,4.32,4.42,3.29,7.24,3.07,4.99,3.56,5.04,4.92,4.99,4.18,7.19,5.73,4.09,4.23,5.44,2.19,2.04,4.28,6.09,4.87,3.77,4.48,7.98,5.73,3.97
Total,,36.88,48.41,44.09,34.26,36.13,43.29,29.07,36.95,35.57,40.79,36.76,39.08,33.89,42.61,34.30,37.41,50.26,40.22,41.12,46.36,35.95,31.47,49.87,36.49,31.13,42.15,42.67,40.07,36.09,44.88,,45.12,44.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_17_pt1/068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_27_pt1/060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_31_pt1/086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_29_pt1/115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for September - November 1911 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
