BATTLE-WHATLINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ7590718574,Long,0.502361,Lat,50.939777,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,5.59,2.33,0.98,1.24,3.14,2.97,0.76,2.22,3.56,2.52,1.19,2.34,0.85,2.69,3.83,0.85,1.05,2.42,3.95,1.32,5.03,1.03,2.82,0.96,3.87,1.73,3.11,5.12,1.08,4.49,2.16,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.5,0.65,1.98,2.34,1.44,0.02,1.7,4.33,2.2,0.36,0.22,2.38,1.36,2.75,5.74,1.84,1.45,1.38,3.16,0.74,2.93,1.69,1.22,0.52,4.27,2.04,3.29,1.18,4.47,4.45,5.39,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.69,1.69,4.36,1.75,2.72,2.08,1.74,0.47,1.42,2.18,2.84,4.17,1.82,1.17,1.73,2.08,1.29,2.17,1.32,5.1,1.74,1.08,2.95,4.45,1.85,2.64,4.78,2.91,6.38,0.62,3.43,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.11,1.86,1.52,2.51,2.95,0.7,1.69,0.02,2.19,2.42,0.87,2.46,1.06,2.97,1.74,2.42,0.59,1.89,1.11,2.12,1.49,3.25,2.36,2.36,1.91,1.9,0.1,3.54,1.48,1.81,1.76,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.47,1.61,1.42,1.46,1.9,3.56,0.21,0.91,2.09,0.09,0.4,1.37,4.27,1.17,0.99,0.73,2.16,2.06,2.41,1.6,2.14,2.57,1.44,1.25,3.05,0.66,0.82,1.12,0.9,4.18,2.37,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.82,0.85,3.1,0.62,2.42,1.74,2.86,0.95,2.02,0.3,2.76,2.72,2.34,1.08,2.6,1.29,2.47,2.68,1.05,3.95,1.45,2.95,1.07,2.09,5.1,2.62,4.75,1.12,1.71,0.94,3.17,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.59,0.47,5.7,2.32,3.82,2.07,3.21,5.46,5.72,2.9,2.01,0.57,0.3,0.92,1.19,1.91,1.02,5.12,1.05,0.69,0.53,1.95,2.86,2.74,2.61,0.46,1.7,2.89,1.88,4.52,1.33,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.67,3.54,1.49,2.76,4.54,5.17,3.98,1.07,1.69,2.51,2.24,3.1,1.55,0.68,2.46,2.01,3.81,3.62,1.48,2.77,0.98,1.96,4.25,3.12,2.46,1.7,6.88,2.44,1.07,1.57,2.21,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.4,3.73,0.96,1.41,1.89,1.46,2.36,4.49,3.52,0.75,6.04,3.17,0.9,4.52,1.11,0.75,1.35,3.16,1.42,2.65,1.76,0.68,1.57,3.34,0.35,1.51,3.16,2.81,1.37,2.57,1.62,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.19,1.43,3.23,6.93,1.49,5.58,6.52,4.5,4.04,4.85,6.14,0.2,3.43,2.58,3.09,2.29,2.36,5.24,1.79,2.5,4.74,6.48,2.26,7.54,4.79,6.56,4.2,5.49,2.87,2.99,6.57,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
