IPSWICH (WEST END DEPOT),,,,,,,,,,,,
Grid ref,TM151443,Long,1.136004,Lat,52.055312,,,,,,,
Station no,1340/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.35,2.03,,
February,,,,,,,,,0.30,1.46,,
March,,,,,,,,,1.13,1.61,,
April,,,,,,,,,1.65,0.45,,
May,,,,,,,,2.31,0.31,0.61,,
June,,,,,,,,3.80,0.99,1.66,,
July,,,,,,,,1.89,1.35,3.12,,
August,,,,,,,,1.43,1.05,2.82,,
September,,,,,,,,2.08,0.00,2.69,,
October,,,,,,,,2.16,1.53,5.94,,
November,,,,,,,,0.91,2.16,3.43,,
December,,,,,,,,3.14,3.37,3.12,,
Total,,,,,,,,,15.19,28.94,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.72,15.19,28.94,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
