WHITBY - RUSWARP GAS WORKS,,,,,,,,,,,,,
Grid ref,NZ898097,Long,-0.616,Lat,54.475,Elevation,7,ft,,,,,
Station no,RR4557,,,,,,,,,,,,
,,,,,,,,,,,,,
,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878
January,2.42,4.60,2.86,2.87,1.65,1.88,2.97,1.17,1.28,1.80,0.55,3.38,1.88
February,2.03,0.64,0.99,1.30,2.50,2.24,1.84,2.05,1.22,0.75,2.33,1.30,1.06
March,3.29,2.15,1.48,2.12,1.60,1.05,2.44,2.55,1.45,0.48,3.27,2.52,1.40
April,1.97,3.38,2.68,1.17,0.46,2.38,2.30,1.43,0.82,0.94,2.40,3.50,2.30
May,0.87,1.75,1.07,2.35,1.27,1.41,2.17,1.97,3.05,1.00,0.70,2.40,2.65
June,2.38,2.27,0.50,1.36,3.06,2.32,2.61,0.85,0.89,3.35,1.60,1.55,3.31
July,2.93,3.35,0.74,0.65,0.45,3.38,3.21,2.50,2.30,4.73,2.72,2.45,0.35
August,4.27,2.43,3.00,1.93,2.21,0.67,3.10,1.50,2.05,2.26,2.25,4.67,3.90
September,4.21,2.25,4.25,1.96,1.01,4.83,5.10,1.70,2.20,1.50,3.95,3.57,0.85
October,2.87,1.94,3.17,3.26,4.85,1.87,3.82,2.40,1.35,4.30,2.24,1.78,2.33
November,2.43,0.94,1.58,3.06,3.47,2.50,4.30,1.17,2.80,6.60,3.21,1.08,5.30
December,2.03,2.48,6.25,5.17,7.53,1.72,4.68,0.53,3.50,1.65,6.13,2.22,
Total,31.70,28.18,28.57,27.20,30.06,26.25,38.54,19.82,22.91,29.36,31.35,30.42,
,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/190,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/061,,,,,,,,,,,,,
,,,,,,,,,,,,,
# The reading for December 1878 is an estimate and has been omitted.,,,,,,,,,,,,,
