GUERNSEY VILLA CAREY (gauge 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV335787,Long,-2.537748,Lat,49.459046,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.9,5.17,2.58,1.73,1.15,3.95,2.4,2.5,2.15,3.7,3.8,1.07,2.47,0.66,4.44,4.37,1.08,1.84,3.37,5,1.35,4.74,2.1,1.09,2.11,5.29,1.86,3.37,5.79,1.64,4.45,1.92,1.8,1.48,7.05,4.31,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,4.35,1.57,0.6,2.13,2.73,2.01,0.05,1.56,3.49,1.97,0.14,0.34,2.35,2.49,2.93,5.73,1.56,1.46,1.34,4.65,1.58,3.62,1.72,1.96,1.07,4.95,1.62,2.89,1.17,5.16,5.58,6.58,1.81,1.32,5.21,1.08,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.51,2.58,0.85,3.71,1.72,1.52,3.03,0.88,0.24,1.64,2.7,2.69,4.31,1.45,0.78,1.45,3.31,1.78,3.11,1.42,5.45,1.86,0.65,3.46,5.08,1.93,2.66,6.23,3.53,5.47,0.94,4.01,3.03,1.88,5.64,2.79,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.79,2.59,1.52,1.78,1.5,2.6,1.43,2,0.45,2.21,2.81,0.66,3.43,2.11,3.14,1.04,3.99,3.52,2.35,1.19,1.94,1.36,2.78,2.09,1.82,1.11,2.82,0.19,2.63,1.32,2.18,0.77,1.83,1.74,2.05,3.04,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.76,3.55,1.46,1.29,2.23,2.27,2.48,0.83,1.13,2.4,0.49,0.17,2.22,4.19,2.27,0.92,1.03,1.73,1.47,2.24,0.16,2.26,3.17,1.36,0.73,2.2,0.49,0.95,2.04,1.23,1.71,1.09,2.52,2.18,1.18,1.78,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.9,0.8,0.67,3.15,1.66,2.34,2.34,1.8,0.86,1.66,0.92,1.82,3.37,1.46,1.22,2.33,0.38,2.12,2.63,1.34,3.51,1.26,1.65,0.47,3.63,1.96,3.04,3.42,0.65,1.09,0.88,1.26,1.12,0.38,0.76,2.26,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.17,2.93,0.73,2.5,2.13,2.64,0.99,1.11,4.45,6.21,2.68,0.88,0.37,0.9,1.23,1.21,0.82,1.75,2.08,2.29,0.44,0.79,1.47,1.55,1.46,2.64,0.75,3.9,2.66,2.56,4.52,0.97,1.28,3.44,1.75,3.18,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.35,1.61,2.22,2.43,2.58,2.8,4.76,1.68,1.1,2.26,2.46,2.02,4.06,2.86,0.29,2.24,1.46,3.75,4.92,2.1,2.05,0.7,1.78,1.94,1,2.28,0.58,7.93,1.56,3.36,1.35,2.89,5.68,2.36,3.24,1.3,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.6,3.2,2.57,1.15,0.8,1.14,1.44,2.16,4.13,4.16,1.29,6.76,3.92,0.71,3.54,1.2,1.77,2.3,3.87,2.58,3.1,1.31,1.43,3.21,1.77,0.36,1.36,3.14,1.46,4.24,2.84,3.2,0.98,5.22,3.44,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.51,6.93,2.37,3.76,7.65,1.67,7.47,7.61,3.94,2.59,5.78,6.77,1.07,3.87,1.78,2.22,2.73,3.1,6,5.25,2.68,4.31,7.61,2.41,7.49,7.52,5.27,5.57,5.35,3.59,5,4.54,5.65,3.68,2.29,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,3.87,3.86,6.86,,2.01,5.69,2.9,2.32,3.1,3.75,5.64,1.97,1.39,4.71,4.1,5.5,1.62,3.22,2.23,2.72,6.86,5.39,3.55,1.73,2.16,10.2,6.77,3.55,4.58,4.3,4.36,5.18,2.82,2.97,6.52,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,1.93,5.72,3.35,1.95,3.03,1.85,4.12,3.45,2.83,2.3,5.26,4.33,4.62,4.79,4.58,4.42,3.59,3.47,3.22,4.29,1.3,3.17,3.62,3.67,4.21,3.89,8.16,4.99,3.32,9.13,9.04,5.79,1.87,4.6,5.98,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,29.64,40.51,25.78,,29.19,30.48,33.41,27.9,27.87,34.85,33.97,29.48,33.58,30.2,30.3,32.63,23.34,30.04,36.59,35.07,30.42,30.77,31.53,24.94,32.53,44.33,35.38,46.13,34.74,43.09,42.85,38.2,30.39,31.25,45.11,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
