HARROW-ON-THE-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ152871,Long,-0.33916868,Lat,51.571011,Elevation,354,ft.,,,,,,,,,,,,
Station no,RR6343,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.24,2.41,,2.22,3.52,2.61,1.97,1.33,,,,,,,,
February,,,,,0.92,2.72,,1.62,0.78,1.75,1.9,1.31,,,,,,,,
March,,,,,2.15,1.01,,1.82,2.23,1.07,1.99,1.18,,,,,,,,
April,,,,,1.3,0.53,,2.24,1.35,1.73,0.2,2.68,,,,,,,,
May,,,,,1.94,3,,2.46,0.93,3.42,1.1,1.28,,,,,,,,
June,,,,,2.09,1.96,,1.59,0.54,1.19,0.74,2.85,,,,,,,,
July,,,,,0.51,2.44,,5.07,0.46,1.14,1.27,3.85,,,,,,,,
August,,,,,1.19,4.75,,2.84,2.76,1.34,2.24,0.91,,,,,,,,
September,,,,,2.98,0.36,,2.47,2.35,3.15,1.65,4.13,,,,,,,,
October,,,,,1.82,6.22,,2.03,2.76,2.53,3.62,1.67,,,,,,,,
November,,,,,2.1,2.55,,0.12,1.31,2.34,1.13,0.4,,,,,,,,
December,,,,,0.71,1.05,,2.1,5.42,2.36,2.38,1.35,,,,,,,,
Total,,,,,18.95,29,,26.58,24.41,24.63,20.19,22.94,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is High Street Harrow on the Hill. The observer, Thomas Hewlett, was living there and was surgeon to Harrow School, which is close by. ",,,,,,,,,,,,,,,,,,,,
Altitudes match.,,,,,,,,,,,,,,,,,,,,
500m from NORTHWICK HOUSE,,,,,,,,,,,,,,,,,,,,
