EASTERFIELD SCHOOL,,,,,,,,,,,,
Grid ref,NJ654454,Long,-2.578933,Lat,57.497484,,,,,,,
Station no,5663/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.21,2.72,1.43,-999.00,1.31,,2.33,4.56,4.64,5.20,,
February,3.73,1.69,1.82,-999.00,3.22,,2.16,3.99,0.60,3.85,,
March,3.29,3.21,0.10,1.77,2.13,,2.77,2.27,1.62,2.03,,
April,3.49,2.07,2.48,0.84,1.35,,1.04,1.23,1.72,1.63,,
May,1.16,1.47,1.44,4.33,3.19,,1.74,2.68,0.88,0.60,,
June,3.08,3.14,4.49,3.71,1.79,2.37,4.12,1.36,1.24,1.01,,
July,4.19,1.87,4.30,3.73,,5.11,6.00,6.00,2.24,2.66,,
August,4.63,3.92,,2.99,,5.19,4.41,3.69,1.06,5.96,,
September,0.80,4.62,,2.21,,3.14,3.50,2.22,0.66,2.64,,
October,0.93,2.62,,4.90,,3.50,1.22,2.06,4.07,5.84,,
November,7.68,4.51,,5.21,,2.02,2.31,1.31,4.66,3.85,,
December,1.74,4.62,,5.25,,3.54,4.46,3.44,2.93,1.41,,
Total,37.93,36.46,,-999.00,,,36.06,34.81,26.32,36.68,,
Calc annual,37.93,36.46,16.06,34.94,12.99,24.87,36.06,34.81,26.32,36.68,,
Difference,0.00,0.00,NaN,-1033.94,NaN,NaN,0.00,0.00,-0.00,0.00,,
