MOFFAT (AUCHEN CASTLE) NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT068038,Long,-3.470217,Lat,55.31941,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5036/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,1.08,6.7,7.29,6.88,3.82,8.58,6.01,8.06,7.36,4.54,6.29,4.73,1.91,4.9,3.63,3.49,8.85,6.15,2.78,6.24
February,,,,,,,,,,,4.19,1.57,5.65,1.99,8.18,3.98,,5.98,6.05,5,3.82,0.64,1.99,3.3,,1.07,4.77,4.5,1.9,8.85
March,,,,,,,,,,,2.96,4.48,1.81,0.51,3.66,3.24,,4.87,1.28,6.04,2.93,2.28,0.95,3.92,,2.6,4.55,1.79,4.87,2.22
April,,,,,,,,,,,1.81,3.45,3.87,2.89,2.23,1.85,10.19,4.44,6.2,4.61,4.92,3.77,3.57,1.26,2.36,0.96,2.48,1.56,4.06,6.38
May,,,,,,,,,,,3.8,5.65,4.72,2.49,5.89,1.29,4.41,2.05,2.98,1.83,2.27,2.45,3.46,5.58,4.2,2.91,2.43,3.71,1.39,3.06
June,,,,,,,,,,,0.91,1.38,4.06,4.08,4.13,4.91,4.79,7.02,1.37,3.03,2.42,2.94,1.32,4.25,2.66,4.2,1.49,3.42,4.34,3.74
July,,,,,,,,,,,3.3,3.31,3.9,4.33,4.58,4.11,5.3,3.42,2.35,5.7,2.81,1.85,8.99,3.87,1.84,5.16,4.57,5.82,5.28,5.06
August,,,,,,,,,,1.52,6.44,6.46,7.17,3.85,1.59,4,0,,4.34,7.69,8.18,4.06,3.46,5.46,1.6,8.32,5.48,5.3,1.17,5.44
September,,,,,,,,,,4.05,2.8,6.19,4.47,4.99,7.16,9.45,4.49,6.57,3.13,13.58,6.39,1.92,5.41,7.58,,5.32,3.78,7.3,1.44,3.73
October,,,,,,,,,,5.93,5.24,5.66,9.98,5.45,5.99,0.56,1.62,5.35,7.14,4.44,0.8,6.09,4.58,12,2.99,4.52,5.56,4.35,7.22,3.29
November,,,,,,,,,,6.57,5.59,1.77,2.88,9.3,0.32,9.83,8.82,5.28,6.78,4.21,10.21,2.94,8.66,10.2,3.23,2.53,2.73,1.93,10.64,8.32
December,,,,,,,,,,6.9,3,9.9,2.87,6.68,4.34,4.82,2.26,8.48,11.11,2.2,9.61,3.99,4.5,6.65,6.33,7.28,5.12,5.12,9.94,6.32
Total,,,,,,,,,,,41.12,56.52,58.67,53.44,51.89,56.62,,,60.09,62.87,60.65,37.66,48.8,68.97,,48.36,51.81,50.95,55.03,62.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1940 estimated, ditto total; both removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb, March and 1948 August estimated - removed with year totals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb, Mar, Aug, Sep 1955 estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 total mis-calculated on record - should be 68.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
