CRAWFORD (CAMP RES.) WHITECAMP,,,,,,,,,,,,,,,,,,,,
Grid ref,NT029214,Long,-3.537777,Lat,55.476745,Elevation,1155,ft,,,,,,,,,,,,
Station no,5162/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.33,,8.66,5.55,3.13,7.35,8.5,2.9,5.2,5.8,3.05,7.75,7,2.6,6.4
February,,,,,,2.78,,4.6,5.5,6.05,7.08,2.2,3.05,5.6,1.7,2.65,5.6,6,1.7,7.2
March,,,,,3.05,3.15,,4.85,2,5.18,4.05,2.95,0.65,5,2.7,2.4,3.8,1.6,3.95,2.45
April,,,,,2.26,1.28,8.62,3.31,4.96,4.1,4.15,2.45,3.25,1.2,1.85,0.9,2.25,3.15,4.6,5.2
May,,,,,5.85,1.43,4.17,1.79,2.03,1.55,2.75,2.5,2.6,7,3.2,2.15,2.7,2.8,1,3
June,,,,,4.47,3.7,4.55,7.21,1.2,3.85,2,2.6,2.35,3.6,2.2,3.4,1.85,3.3,3.3,2.7
July,,,,,4.17,4.84,3.77,3.52,2,5.17,2.75,3.2,6.8,4.2,2.8,5,4,6.4,5.75,5
August,,,,,2.53,4.63,0.03,6.77,4,5.05,7.35,3.6,3.7,5.8,2,8.2,4.8,5,0.9,4.8
September,,,,,7.77,7.6,4.68,5.87,2.51,11.95,4.5,2.95,5.8,6.8,4,5.4,3.5,5.75,1.4,3.65
October,,,,,5.52,1,1.97,3.78,7.05,4.47,0.8,5.15,4.8,10.8,3.4,3.25,4.45,3.55,6.8,3.4
November,,,,,0.5,8.93,7.18,3.61,5.65,3.25,9.6,4.15,6.2,9.8,2.85,2,2.35,1.5,10.3,8.65
December,,,,,4.36,4.53,3.23,8.66,9,3.18,7.8,5.4,4.8,6,5.55,7.7,4.5,4.9,8.15,5.25
Total,,,,,,50.2,,62.63,51.45,56.93,60.18,45.65,46.9,71,38.05,46.1,47.55,50.95,50.45,57.7
,,,,,,,,,,,,,,,,,,,,
1945 NP Imp,,,,,,,,,,,,,,,,,,,,
1947 NP imp,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5162/8,,,,,,,,,,,,,,,,,,,
Midas,13531,,,,,,,,,,,,,,,,,,,
Hyd Stn,650630,,,,,,,,,,,,,,,,,,,
