SHIPLEY-WEST-POINT,,,,,,,,,,,,,,,,,,,,
Grid ref,SE128374,Long,-1.8069951,Lat,53.832704,Elevation,382,ft.,,,,,,,,,,,,
Station no,RR6052,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,3.36,,4.84,1.33,1.96,1.85,4.59,1.25,6.02,,,,,,,
February,,,,,4.24,,2.34,2.18,2.24,0.98,3.42,3.64,2.15,,,,,,,
March,,,,,2.39,,2.3,2.33,3.51,3.82,0.6,1.27,4.63,,,,,,,
April,,,,,1.85,,0.85,1.74,2.39,3.05,2.59,1.21,0.55,,,,,,,
May,,,,,2.82,,2.96,3,2.55,2.33,2.21,1.1,2.8,,,,,,,
June,,,,,1.49,,2.32,4.28,1.16,2.93,3.03,3.15,6.55,,,,,,,
July,,,,,2.35,,2.53,3.04,3.06,3,2.41,0.27,3.98,,,,,,,
August,,,,,3.52,,3.5,2.16,2.7,2.83,4.33,1.95,5.91,,,,,,,
September,,,,,0.58,,0.51,0.61,2.99,3.17,0.25,2.79,1.62,,,,,,,
October,,,,,0.71,2.36,5.39,5.36,1.99,2.69,3.47,3.34,3.48,,,,,,,
November,,,,,2.92,4.7,3.19,2.61,1.97,0.82,4.66,3.85,2.67,,,,,,,
December,,,,,3.29,,3.14,3.59,2.19,4.76,4.02,6.24,3.96,,,,,,,
Total,,,,,29.52,,33.87,32.23,28.71,32.23,35.58,30.06,44.32,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is West Point. Altitudes match.,,,,,,,,,,,,,,,,,,,,
560m from SHIPLEY-MOOR-HEAD,,,,,,,,,,,,,,,,,,,,
