"LAKE VYRNWY (BANK CYNON TRAF)",,,,,,,,,,,,
Grid ref,SJ018191,Long,-3.456661,Lat,52.760548,,,,,,,
Station no,4258,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.42,8.76,1.92,5.32,4.56,8.49,8.28,6.47,7.15,9.04,,
February,7.44,1.49,3.61,5.38,3.20,0.77,5.18,8.38,0.67,6.53,,
March,6.55,3.10,4.80,5.38,3.38,3.04,6.13,1.66,3.53,3.06,,
April,5.38,3.09,4.82,1.78,2.84,1.77,0.41,2.07,4.86,4.46,,
May,3.66,3.51,3.13,4.54,7.68,1.33,3.02,6.01,1.99,2.06,,
June,1.87,2.63,2.04,5.21,5.58,3.76,1.60,4.48,3.66,2.57,,
July,2.51,2.67,7.36,6.17,1.21,7.39,7.66,5.02,6.87,6.23,,
August,6.72,5.19,4.93,4.59,2.05,7.80,7.91,3.51,1.63,6.57,,
September,5.57,3.82,6.87,7.81,2.14,5.09,8.92,9.81,0.39,5.37,,
October,1.82,10.12,2.64,12.32,3.54,3.77,6.24,3.95,8.14,7.02,,
November,10.20,4.20,7.54,11.18,3.49,2.68,2.84,2.56,5.88,13.11,,
December,11.00,5.71,1.83,7.13,7.96,6.51,4.94,5.45,13.24,9.21,,
Total,69.14,54.29,51.49,76.81,47.63,52.40,63.13,59.37,58.01,75.23,,
Calc annual,69.14,54.29,51.49,76.81,47.63,52.40,63.13,59.37,58.01,75.23,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
