HOARWITHY,,,,,,,,,,,,,,,,,,,,
Grid ref,SO545293,Long,-2.6635845,Lat,51.96031,Elevation,145,ft,,,,,,,,,,,,
Station no,2221/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.9,2.49,,,,,,5.75,,,2.73,7.4,2.52,1.83,2.89,,,,
February,,0.14,2.75,,,,,,1.2,,,0.33,1.79,0.62,2.1,1.69,,,,
March,,,2.48,,,,,,1.59,1.7,,4.33,1.08,0.27,0.95,0.95,,,,
April,,,1.42,,,,,,2.75,3.08,,1.74,0.51,1.37,,2.1,,,,
May,,,1.84,,,,,,0.87,2.26,,4.04,3.59,0.98,,3.61,,,,
June,,,,,,,,,2.15,0.56,,0.26,1.67,1.7,,2.47,,,,
July,,,,,,,,,7.38,3.19,2.23,1.23,1.21,1.58,,1.21,,,,
August,,,,,,,,,1.92,0.24,3.71,3.84,1.71,2.19,,5.74,,,,
September,,,,,,,,,0.7,0.96,0.97,2.01,2.04,2.7,,4.13,,,,
October,,,,,,,,,2.97,4.69,2.1,1.86,2.6,4.1,,1.25,,,,
November,,1.87,0.77,,,,,,5.21,6.53,2.89,0.93,1.73,4.05,,5.7,,,,
December,1.5,1.85,0.79,,,,,,1.54,1.66,1.94,3.88,1.6,1.91,,2.52,,,,
Total,,,,,,,,,34.03,,,27.18,26.93,23.99,,34.26,,,,
,,,,,,,,,,,,,,,,,,,,
"1940 Jan, Feb and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
