"BOURNEMOUTH (ALDERNEY RES)",,,,,,,,,,,,
Grid ref,SZ045950,Long,-1.937573,Lat,50.754581,,,,,,,
Station no,1589,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,2.06,1.00,2.18,3.95,5.24,2.60,4.51,3.88,3.84,,
February,6.14,0.63,1.39,3.47,2.07,0.15,4.28,3.20,0.37,3.12,,
March,3.79,2.60,0.58,5.02,1.23,1.17,2.69,1.82,3.68,1.88,,
April,3.44,1.84,2.21,0.16,0.76,2.00,0.21,0.74,2.43,1.94,,
May,2.42,2.30,2.38,3.32,4.24,0.49,1.98,2.15,1.39,2.64,,
June,0.34,0.82,2.33,2.74,2.63,2.10,1.44,4.41,1.72,1.68,,
July,1.24,0.96,2.79,2.99,0.38,2.77,2.55,1.77,1.62,4.35,,
August,3.93,3.82,1.57,3.65,0.48,3.57,3.55,3.38,2.15,4.67,,
September,3.83,4.34,2.89,3.55,1.15,4.98,3.16,4.87,0.30,6.52,,
October,1.40,4.67,3.60,2.74,4.84,1.41,2.59,3.45,3.10,10.21,,
November,9.82,4.50,2.40,6.12,3.19,1.05,2.32,2.85,4.22,6.09,,
December,2.73,2.99,0.85,2.95,6.04,5.67,2.55,4.54,7.47,3.93,,
Total,42.47,31.53,23.99,38.89,30.96,30.60,29.92,37.69,32.33,-999.00,,
Calc annual,42.47,31.53,23.99,38.89,30.96,30.60,29.92,37.69,32.33,50.87,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1049.87,,
