ERICHT DAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN511629,Long,-4.435606,Lat,56.733913,Elevation,1196,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5563/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,10.78,6.91,11.16,4.16,3.55,10.05,11.14,5.17,0.54,0.76,4.93,6.08,9.52,3.5,8.37,6.06,7.44,7.74,5.6,6.39,5.22,4.04,5.46,3.01,4.68,9.81,4.05,3.11,4.73
February,,0.01,4.85,2.34,9.62,2.79,4.14,6.23,7.39,2.23,4.57,2.67,7.37,3.36,10.11,6.64,1.42,6.66,6.82,9.23,3.3,1.95,3.37,3.72,2.35,2.92,4.21,2.83,2.82,3.76
March,,2.88,2.79,5.28,3.59,2.37,1.24,8.06,4.18,4.83,2.08,1.64,5.6,1.69,5.9,3.42,2.91,6.43,3.25,3.78,3.33,4.05,2.07,3.36,0.96,4.02,5.66,1.56,4.19,2.19
April,2.16,5.09,3.12,3.58,2.76,2.29,1.55,0.94,3.81,4.5,2.28,2.82,5.9,3.82,2.1,2.51,9.76,4.98,5.85,5.49,5.82,3.32,3.51,2.07,2.78,2.63,1.74,3.09,3.91,5.51
May,4.07,3.47,1.75,3.94,0.78,1.68,3.45,3.16,1.19,1.79,2.15,3.36,3.51,4.04,5.08,1.34,3.45,2.35,3.39,2.04,0.91,2.77,3.84,4.74,3.13,4.75,1.8,5.22,1.43,2.95
June,4.69,0.88,1.84,1.41,4.46,1.7,3.25,6,2.4,1.18,0.9,2.17,4.99,6.3,4.87,4.27,4.86,4.76,2.22,3.71,2.34,3.97,1.99,2.83,2.35,3.35,2.96,2.45,3.82,2.41
July,4.53,5.64,3.41,2.64,2.43,5.37,4.67,4.77,6.44,6.39,3.48,2.87,2.68,2.32,2.19,4.4,4.62,3.86,2.09,5.74,3.57,2.82,6.43,2.49,0.75,5,5.62,3.63,5.17,2.52
August,2.04,3.06,4.04,4.86,4.19,3.71,3.7,4.01,2.3,3.1,6.64,5.76,5.53,5.26,2.82,3.63,0,7.78,5.67,6.98,4.73,3.45,3.56,4.15,1.81,5.33,5.14,5.4,3.58,3.34
September,1.49,5.36,1.61,6.15,9.28,3.29,4.74,4.84,2.93,3.4,2.22,7.69,4.82,3.66,7.15,6.96,6.99,6.95,2.11,10.13,3.42,3.87,6.34,7.38,5.29,6.31,2.66,5.21,1.67,3.33
October,5.3,7.75,5.63,9.74,12.92,8.65,2.67,11.76,3.71,6.66,6.86,8.03,11.16,5.47,4.43,0.62,5.06,8.31,6.31,6.68,2.07,6.37,3.23,11.13,5.01,5.69,7.3,6.67,6.97,3.83
November,6.83,6.8,2.33,1.97,5.69,5.4,0.72,13.59,10.41,7.2,6.57,2.02,4.17,7.66,0.81,5.22,10.16,5.42,6.16,5.79,8.48,3.36,9.44,9.27,2.19,4.03,1.74,1.47,6.1,5.3
December,6.61,8.25,1.08,6.93,2.5,9.57,1.84,6.49,2.67,6.41,6.73,7.99,3.49,7.73,6.51,6.71,2.64,9.11,14,3.85,8.49,5.92,7.46,12.77,10.91,9.98,9.75,5.54,8.5,7.48
Total,,59.97,39.36,60,62.38,50.37,42.02,80.99,52.6,48.23,45.24,51.95,65.3,60.83,55.47,54.09,57.93,74.05,65.61,69.02,52.85,47.07,55.28,69.37,40.54,58.69,58.39,47.12,51.27,47.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Fe Ma Estd Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5563/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,866007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
