WELSHPOOL-BUTTINGTON-VIC,,,,,,,,,,
Grid ref,SJ249087,Long,-3.1120443,Lat,52.670784,Elevation,227,ft.,,
Station no,RR6412,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.69,3.47,4.67,4.37,2.26,3.9,,,
February,2.8,5.16,1.99,2.41,2.8,3.66,1.44,,,
March,1.51,2.55,2.38,1.38,2.83,1.15,3.27,,,
April,1.58,1.04,3.23,0.73,1.41,1.87,1.41,,,
May,2.69,1.78,2.3,1.43,1.56,2.69,7.93,,,
June,4.03,1.75,3.91,4.02,2.55,2.58,1.27,,,
July,6.59,1.73,4.13,2.21,3.09,0.5,2.91,,,
August,1.07,3.98,2.31,1.47,2.35,4.41,,,,
September,1.97,1.6,2.97,4.56,1.25,4.14,,,,
October,6.47,3.32,5.42,3.19,1.97,6.07,,,,
November,3.35,3.67,5.26,4.73,1.54,3.69,,,,
December,4.75,3.03,3.9,1.46,3.28,0.99,,,,
Total,,30.3,41.27,32.26,29,34.01,,,,
,,,,,,,,,,
NGR is Buttington Vicarage. Stated altitude of 70 ft. is too high; OS figure used.,,,,,,,,,,
No other Montgomeryshire locations within 10km for some of the period covered,,,,,,,,,,
