BATH-COBURG-VILLAS,,,,,,,,,,,,,,,,,,,,
Grid ref,ST753661,Long,-2.35633,Lat,51.39395,Elevation,260,ft,,,,,,,,,,,,
Station no,1985/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.52,2.52,4.21,3.87,5.48,2,1.81,2.46,2.37,6.44,1.16,
February,,,,,,,,,1.46,2.55,3.01,0.41,1.62,0.76,3.08,3.51,1.56,1.51,1.57,
March,,,,,,,,,1.66,2.39,3.79,1.97,1.22,0.49,1.05,0.74,5.65,1.34,1.45,
April,,,,,,,,,2.49,2.22,1.44,1.08,0.86,1.9,0.92,2.5,3.01,2.01,1.81,
May,,,,,,,,,1.41,1.8,1.35,5.52,2.92,1.31,2.63,4.16,3.51,4.04,3.35,
June,,,,,,,,,2.31,0.51,2.08,0.35,1.7,2.18,3.35,3.28,1.77,2.24,0.27,
July,,,,,,,,,3.29,3.56,1.62,3.28,2.05,2.21,1.36,1.22,4.07,0.88,1.44,
August,,,,,,,,,2.85,0.11,5.53,4.76,3.4,2.18,3.03,5.29,0.9,3.84,1.61,
September,,,,,,,,,1.58,2.04,0.57,1.93,3.52,2.36,2.49,4.1,1.65,2.21,1.38,
October,,,,,,,,,3.04,3.91,2.16,3.91,3.76,4.75,3.73,1.17,0.32,3.46,6.39,
November,,,,,,,,,6.03,9.49,2.06,1.59,2.27,5.91,0.42,4.68,2.41,1.49,3.45,
December,,,,,,,,,2.15,1.36,2.33,3.96,1.73,2.47,4.41,2.69,2.95,4.37,1.59,
Total,,,,,,,,,33.79,32.46,30.15,32.63,30.53,28.52,28.28,35.8,30.17,33.83,25.47,
,,,,,,,,,,,,,,,,,,,,
1 Coburg Villas found on 2017 OS map,,,,,,,,,,,,,,,,,,,,
Elevation of 260ft a little low for this area Nearer 300ft,,,,,,,,,,,,,,,,,,,,
