HALIFAX WELL HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE090244,Long,-1.8641,Lat,53.7165,Elevation,487,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,-999,0.5,1.5,1.1,0.25,6.94,3.3,2.8,3.75,1.15,2.95,5.7,3.5,2.2,4.3,1.8,1.6,3.25,2.1,1.4,5.12,2.6,2.1,5.52,3.92,3.42,0.63,3.43,2.44,1.4,2.35,3.97,0.19,1.87,5.91,1.48,2.59,4.75,3.29,2.57,2.81,3.36,1,4.23,3.93,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,-999,3.7,3.2,1.2,4.55,2.45,4.8,2.46,3.5,2.2,2,1.85,1.1,0.9,2.8,3.2,0.65,0.9,2.12,5.35,1.25,3.35,1.3,4.25,1.3,1.59,1.74,3.4,0.9,0.2,1.6,1.6,3.97,0.52,1.68,2.13,2.13,5.22,3.31,4.34,5.72,1.77,2.6,3.57,0.8,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.1,1.2,3.5,1.9,1.5,3.05,3.5,2.85,1.28,2.7,3.1,0.35,1.7,4.1,1.2,3.75,2.55,2,1.5,4.12,1.3,0.6,2.3,0.56,1.43,0.94,1.71,0.3,3.25,2.2,4.65,3.26,5.24,4.39,1.23,2.99,0.8,1.24,2.02,4.3,2.5,2.2,1.18,2.57,2.86,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.7,3,2.1,2.35,3.5,1.37,2.2,2.48,1.3,1.9,0.55,1.05,0.82,0.4,3.55,0.3,1.6,5.5,2.5,1.8,2.12,2.6,1,0.5,1.87,0.4,0.94,3.3,2.75,2.3,3.96,1.22,1.3,2.16,1.34,1.4,1.13,1.7,4.12,1.2,1.65,0.8,3.88,3.6,0.31,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,0.7,4.8,1.5,2.2,1.4,0.74,2.5,0.34,1.25,3.7,0.28,4.1,3.35,2.25,3.35,0.13,2.95,0.85,3.9,1.1,1.6,1.5,1.17,1.15,1.31,1.87,1.47,4.1,1.66,2.1,0.41,3.16,0.78,3.76,1.72,1.75,2.2,0.96,2.72,0.77,5.64,1.43,1.9,2.05,2.11,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.7,5.1,1.7,5.3,6.1,2.12,1.8,3.65,2.2,3.75,4.65,2.66,3.7,1.68,2.6,2.3,2.5,2.15,2.1,4,1.4,1.6,4.17,4.4,4.9,2.6,2.9,2.36,3.55,3.19,2.39,4.98,1.74,2.74,4.02,1.54,0.84,0.49,1.57,0.07,0.76,1.78,3.28,5.01,1.24,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,5.7,3.9,4,1.6,1.45,6.21,0.84,2.9,3.25,2.8,4.4,3.8,2.68,3.85,3.1,2.02,4,1.9,0.8,1.91,3.9,3.85,3.54,2.1,2.44,2.73,5.15,2.16,2.27,1.8,2.9,1.47,5.07,2.6,1.37,0.89,2.19,4.46,3.69,0.4,0.55,0.55,2.77,3.7,2.84,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,7.7,2.6,3.6,4.63,3.95,1.65,1.2,1.3,2,3.84,3.25,3.05,3.52,1.05,2.5,3.15,5.6,2.1,1.97,4.6,3.8,4.45,2.56,2.43,1.94,0.92,2.26,6.38,5.75,2.35,5.83,3.77,1.52,2.14,4.5,0.96,4.7,4.54,1.76,2.7,2,1.3,1.28,4,2.47,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.5,5.6,3.2,0.54,2.35,2.6,2.94,3.1,2.7,1.1,4.76,4.6,3.12,2.3,0.65,2.25,1.9,0.9,2.1,3.82,4.1,1.2,1.66,2.74,3.2,1.86,0.55,3.5,4.2,3.75,3.83,1.98,3.39,2.5,5.24,2.45,0.3,6.15,2.58,3.32,5.6,1.76,4.73,5.05,2.22,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.4,4.1,4.5,2.73,2.6,1.42,2.79,2.8,5.1,4.7,2.3,1.3,5.95,2.25,7.3,2.4,4.3,4.5,3.2,4.6,3.4,2.3,2.93,5.22,4.25,1.62,6.85,2.45,1.15,3.56,2.93,3.63,0.69,6.17,5.52,3.32,6.1,2.43,2.54,3.61,1.88,8.96,2.98,4.07,3.75,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,2,4.5,6.5,3.3,1.5,2.82,2.8,6.1,3.95,2.9,4.75,4.5,3.8,3.85,4,2.5,1.85,2.3,2.75,1.95,2.4,2.75,0.8,6.37,2.4,3.51,0.96,1.27,1.4,1.47,2.43,3.35,5.08,1.06,2.38,3.23,2.82,5.64,0.62,2.62,3.92,2.74,0.87,5.96,2.31,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,0.6,2.5,2.7,4.2,5.16,1.25,0.5,4.7,4.6,1.5,2.9,0.42,3.3,1.9,0.35,0.2,5.8,1.1,4.4,2.35,2.9,1.35,1.2,4.88,1.5,5.04,1.6,3.95,1.45,2.16,3.28,1.94,1.82,2.31,2.67,1.5,2.16,5.66,2.72,8.67,4.83,2.94,1.43,3.4,0.72,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,32.1,41.5,38,31.05,34.31,32.62,29.17,35.48,34.88,32.24,35.89,33.38,36.54,26.73,35.7,24,35.3,27.45,29.44,37,33.29,28.15,24.73,40.12,30.46,26.5,26.76,36.6,30.77,26.48,36.56,34.33,30.79,32.22,37.58,23.64,27.96,43.24,30.94,34.57,37.86,29.59,27.9,47.21,25.56,39.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1859 Jan, Feb (-999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
