HOLMSLEY,,,,,,,,,,
Grid ref,SZ227998,Long,-1.679275,Lat,50.797322,Elevation,212,ft,,
Station no,636/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.18,2.11,4.05,4.91,3.16,4.68,3.56,3.93
February,,,1.66,3.52,2.43,0.23,4.3,3.19,0.36,3.23
March,,,0.61,5.05,1.32,0.86,2.88,2.2,3.72,2.4
April,,,2.26,0.25,0.67,1.94,0.18,0.76,3.16,1.74
May,,,2.72,2.2,4.69,0.55,2.17,2.85,0.67,1.74
June,,1.87,3.14,3.28,3.91,2.65,1.5,3.55,1.01,2.55
July,,0.21,5.03,3.63,0.66,3.13,3.72,2.29,2.29,4.58
August,,5.29,2,4.34,0.63,4.89,2.5,3.72,3.13,4.77
September,,5.06,4.2,3.66,1.95,5.07,3.5,5.77,0.48,7.05
October,,5.31,3.34,4.52,5.02,1.9,2.51,3.89,3.78,10.48
November,,4.87,2.33,6.92,3.79,0.82,3.01,2.97,4.71,5.91
December,,3.64,0.88,3.14,6.58,6.03,2.6,4.67,8.16,3.96
Total,,,29.35,42.62,35.7,32.98,32.03,40.54,35.03,52.34
,,,,,,,,,,
Toll House might not have been built by 1952 ,,,,,,,,,,
Likely Holmsley Cottage which matches MIDAS name of Holmsley,,,,,,,,,,
,,,,,,,,,,
1952 Gauge moved 2.5 miles E from Avon Tyrrell,,,,,,,,,,
1960 July 4 Inspection Gauge deteriorating Site slt o/e W to SW Enclosure posts too close Need larger enclosure,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7694,,,,,,,,,,
1952-1978,,,,,,,,,,
