STANDEDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE014092,Long,-1.9788,Lat,53.5801,Elevation,1150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,6.75,5.25,8.25,6.25,5,0.75,4,3.25,2.75,3.75,5.5,1,3.75,7.75,2.75,3.75,6.75,5,3.25,4,5,1.5,7,5,4.75,6.25,2.75,7,6,1.5,1,0.75,6,7.75,7.25,3.75,5.75,2.73,2.75,3
February,6.5,4.5,8.75,1.25,4,0.75,4.5,1.75,0,3,1.5,3,1.25,3.25,4.25,3.25,6,6.25,7,8.5,2,5.25,5.5,0.75,3.25,1.75,5.5,6,3,4,4.25,,4.3,2.75,4,4.75,1.75,0.75,0.75,3
March,1.25,5.25,1.75,2.5,1.75,2.75,0,2.25,2,4.5,6.5,9,5,1.5,3,2,2,2.25,6.25,2.25,3.25,0,4.5,2.75,5.5,0.5,5.75,3.75,2.75,3,4.5,4.5,5.25,0.75,4.25,2.5,3.75,1,3.5,3
April,5,2,1.25,3.5,1.5,2,2.75,2.5,3,4.75,2.5,1.5,4.75,2.5,1.75,2.25,1.25,7.25,2.25,3,2.5,5.25,3.5,0.25,2.25,1.5,2.75,2.5,2.5,2.5,3,0.75,6.75,2,2,2.23,4,,4,3.25
May,2.75,3,3.75,0.75,4.25,2,2.75,2.5,3.75,0.25,3.5,1.25,6.75,3.25,6.75,4,2.5,3.25,2,5.5,2.5,2.5,3,3.25,2,3.5,1.75,4.5,5,3.5,3.5,5.75,3,1.5,2.75,2.5,6,3.75,1,2.5
June,4.25,9,6.5,5.75,3.75,4.5,3.5,2.75,3,3,9.5,3.5,5.5,5.25,4.25,1,7.25,2.5,0.25,1.5,2.5,4,6,2.5,1.25,3,3.75,5,4.5,7,6.25,2.5,8.25,4.5,0.75,4.75,2.5,1.25,3,0.56
July,5.75,7.5,3.75,7,3.75,4.25,4,5.75,3,2.25,2.5,5.75,5.5,2.25,3,3.5,6,7,0.5,1.5,1.5,6,6.5,5,3,6.25,4.25,5.5,1,8,8.5,4,6,3.5,3.75,2.75,4.14,1.25,9.25,4.44
August,12,4.25,5.25,3,3.25,3.5,7.75,6.25,3.5,8,6.75,5.25,5,6.75,3,6.25,7,1.5,3.25,3.75,3.75,2.25,6,6.25,7,4,5.25,6.25,7,8,2,7,4.75,4,1.75,1.75,3.75,1.75,4.25,8.52
September,2.5,3,5.5,4.25,4.5,0.75,6,4.75,4,5.25,4.75,7,5.75,8.5,10,1,8.75,4.5,3,9.25,4.75,5,8.5,3.5,5.5,6.25,5.5,4.75,7,4.5,5.5,3,3,7.5,2.5,6,5.5,6,2,4.13
October,5.75,5.75,6.25,6.5,4,9,3.75,2,6.25,5.25,8,1.5,3,8.5,4.5,7.75,3.5,5,7.5,5.25,13.5,5.25,7.25,7,7,6.5,3.25,6.5,5,3.55,5,5.5,5.25,7,2.25,7.75,6.75,3.25,2.08,5.87
November,9.75,3,13.25,4.5,6,1,3.25,2.5,1,3.25,3.75,7.5,2,5.5,5,4.75,9.25,1,3.5,6.75,3.5,1.25,6.75,4.75,4.5,6,3.25,7.75,3.05,1.84,6.75,6.25,7.75,4.5,2,4.75,3.25,3.75,7.5,2.13
December,5,3.5,10,1.25,11.5,1.75,4.25,2,3.75,1.5,2,3.5,5,5.5,3.5,1.5,9,1.5,11.75,6,3,4,3.5,1.5,4.25,2.75,10,5.75,1.75,2.5,7,5,4.25,5,5,1.75,5,4,3.5,4
Total,67.25,56,74.25,46.5,53.25,33,46.5,38.25,36,44.75,56.75,49.75,53.25,60.5,51.75,41,69.25,47,50.5,57.25,47.75,42.25,68,42.5,50.25,48.25,53.75,65.25,48.55,49.89,57.25,,64.55,50.75,38.25,45.23,52.14,,43.58,44.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Feb 6.54 computed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 April 'some mischievous person ran water off',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR direction from Inn (now the Floating Light Inn) and ventilator as described in record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
