TALYBONT-YSCYTHROG,,,,,,,,,,,,,,,,,,,,
Grid ref,SO107252,Long,-3.2998196,Lat,51.918139,Elevation,451,ft.,,,,,,,,,,,,
Station no,4194/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,5.17,7.62,2.93,4.11,3.11,9.49,4.51,3.45,6.5,4.64,8.67,,
February,,,,,,,,1.45,3.58,3.14,4.23,0.34,3.12,0.96,4.3,3.56,1.49,2.88,,
March,,,,,,,,0.08,2.33,3.17,4.38,3.19,0.77,0.34,1.85,1.26,8.45,1.89,,
April,,,,,,,,0.11,3.22,3.24,1.1,2.87,1.14,1.68,2.03,1.51,5.63,3.2,,
May,,,,,,,,2.97,0.74,2.23,2.42,5.91,4.67,0.91,3.64,3.75,2.46,3.17,,
June,,,,,,,,2.5,2.37,0.8,1.7,0.32,3.27,1.99,3.33,2.83,2.09,4.17,,
July,,,,,,,,3.02,7.8,3.22,2.61,2.39,1.54,1.9,2.77,1.64,1.54,1.1,,
August,,,,,,,1.36,4.92,2.22,0.23,4.57,5.11,2.12,3.89,3.6,6.7,0.47,3.93,,
September,,,,,,,1.82,1.22,0.5,2.22,0.79,2.66,4.34,3.12,3.11,5.62,2.06,3.25,,
October,,,,,,,3.23,5.38,3.8,5.65,4.09,2.22,4.33,7.88,6.99,1.01,0.6,3.87,,
November,,,,,,,,7.22,7.91,10.13,3.64,0.72,3.09,7.3,0.62,9.86,2.92,1.73,,
December,,,,,,,,4.42,2.1,2.29,3.15,6.81,2.13,3.6,6.54,4.73,2.74,10.3,,
Total,,,,,,,,38.46,44.19,39.25,36.79,35.65,40.01,38.08,42.23,48.97,35.09,48.16,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940 record and is in a village called Scethrog.,,,,,,,,,,,,,,,,,,,,
Altitudes match as do the relationships to church and station,,,,,,,,,,,,,,,,,,,,
