"STRATFORD-ON-AVON, CRIMSCOTE",,,,,,,,,,,,,,,,,,,,
Grid ref,SP234472,Long,-1.6596332,Lat,52.122623,Elevation,230,ft,,,,,,,,,,,,
Station no,2441/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.73,1.98,1.83,0.56,2.53,3.47,2.61,4.82,2.73,2.53,2.46,,,,,,,,
February,,0.1,2.59,0.3,1.86,1.77,3.53,0.67,1.33,2.07,2.09,0.65,,,,,,,,
March,,1.61,2.32,1.83,0.6,1.81,2.6,0.26,1.37,2.04,2.21,1.55,,,,,,,,
April,,2.38,0.86,2.12,3.39,1.75,2.78,0.12,2.26,2.5,1.07,0.69,,,,,,,,
May,,8.59,1.45,0.7,1.8,0.7,2.39,1.69,0.81,1.97,2.14,2.73,,,,,,,,
June,,0.74,2.28,0.74,3.31,2.64,1.85,0.9,2.21,0.52,1.26,0.46,,,,,,,,
July,,2.47,1.38,2.81,1.26,4.72,2.09,1.64,4.22,2.72,3.1,1.79,,,,,,,,
August,,3.37,0.45,1.51,0.97,0.6,1.16,6.09,2.59,0.2,3.47,2.87,,,,,,,,
September,,2.56,1.44,1.85,3.65,2.81,1.94,2.88,1.35,1.26,0.36,0.92,,,,,,,,
October,,3.34,2.45,1.36,3.59,1.18,2.44,1.94,4.03,3.32,2.76,2.59,,,,,,,,
November,,1.51,0.83,1.73,4.43,2.44,1.38,2.22,1.83,5.77,2.89,2.05,,,,,,,,
December,,0.7,0.39,4.31,3.37,2.59,1.81,2.92,1.26,1.77,1.4,3.08,,,,,,,,
Total,,29.1,18.42,21.09,28.79,25.54,27.44,23.94,28.08,26.87,25.28,21.84,,,,,,,,
