"GOATHLAND (HYDRO)",,,,,,,,,,,,
Grid ref,NZ835012,Long,-0.715320,Lat,54.399429,,,,,,,
Station no,3468/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.56,2.54,1.12,1.95,2.15,4.33,2.02,3.73,3.24,6.13,,
February,3.27,1.53,2.05,2.69,2.20,2.62,3.36,3.22,0.48,3.43,,
March,3.88,1.92,0.28,2.81,2.10,0.84,1.60,2.70,1.52,1.58,,
April,2.99,1.34,2.93,0.36,1.17,0.93,0.99,1.71,3.27,1.48,,
May,5.57,1.11,1.86,2.95,3.21,0.86,1.09,3.24,0.71,1.31,,
June,1.26,1.74,3.06,2.30,2.62,3.80,1.88,4.03,2.34,1.01,,
July,2.04,1.97,2.67,1.63,1.21,2.33,4.26,3.36,2.48,4.65,,
August,5.48,2.16,2.42,7.13,0.96,8.53,3.51,2.81,0.36,4.32,,
September,1.72,3.84,1.81,1.81,1.60,2.07,3.96,2.66,0.70,3.32,,
October,1.86,5.24,1.95,4.28,3.07,2.37,3.39,1.76,2.38,10.30,,
November,5.85,5.35,2.60,6.17,2.35,2.32,3.10,1.31,5.27,5.08,,
December,3.10,3.07,1.34,2.33,3.55,2.97,1.61,4.14,6.30,4.20,,
Total,39.58,31.81,24.09,36.40,26.19,33.97,30.77,34.67,29.05,46.81,,
Calc annual,39.58,31.81,24.09,36.41,26.19,33.97,30.77,34.67,29.05,46.81,,
Difference,-0.00,-0.00,0.00,-0.01,-0.00,0.00,-0.00,0.00,0.00,0.00,,
