"LAGGAN  (GERGASK) ",,,,,,,,,,,,
Grid ref,NN613945,Long,-4.286285,Lat,57.020709,,,,,,,
Station no,5697,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.60,4.36,2.25,4.23,2.46,2.75,5.44,3.85,3.29,3.04,,
February,2.18,2.33,2.79,2.52,2.83,2.74,2.69,2.05,1.77,3.36,,
March,2.06,1.95,1.51,2.34,0.91,2.48,3.46,1.82,1.94,0.72,,
April,5.10,1.85,2.12,1.40,1.09,1.81,1.79,1.84,2.97,3.28,,
May,1.01,2.07,2.83,3.93,2.40,2.03,1.60,3.69,2.02,1.04,,
June,2.18,2.02,2.05,2.33,1.01,3.20,2.36,2.13,2.48,2.72,,
July,3.45,2.59,3.43,1.83,0.51,4.22,3.54,4.05,3.66,2.16,,
August,4.14,3.96,3.42,2.75,1.03,5.37,4.31,4.12,2.39,6.20,,
September,2.14,3.60,3.90,3.80,3.77,5.07,3.29,4.33,0.86,2.65,,
October,1.40,4.10,1.60,7.00,3.48,4.34,4.14,4.93,5.97,2.55,,
November,3.55,3.08,4.94,5.15,0.90,3.35,1.50,0.88,3.98,2.72,,
December,6.08,5.50,5.48,7.41,2.47,6.66,4.95,3.62,4.94,4.48,,
Total,36.89,37.41,36.32,44.69,22.86,44.02,39.07,37.31,36.27,34.92,,
Calc annual,36.89,37.41,36.32,44.69,22.86,44.02,39.07,37.31,36.27,34.92,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
