DUNFERMLINE BROOMHALL GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT0755183514,Long,-3.485281,Lat,56.035558,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,2.97,3.31,3.66,0.96,1.58,3.06,2.35,0.95,2.53,,,,3.33,,,,,,,,,,
February,,,,,,,,,1.47,0.98,2.71,3.03,2.07,1.42,2,3.01,3.58,,,,2.58,,,,,,,,,,
March,,,,,,,,,3.7,3.98,1.24,2.06,3.03,3.02,3.62,1.73,3.41,,,,2.53,,,,,,,,,,
April,,,,,,,,,1.55,2.96,2.49,1.05,0.23,2.45,0.92,0.89,2.07,,,,1.48,,,,,,,,,,
May,,,,,,,,,2.14,2.31,1.38,1.24,1.12,1.72,2.28,1.27,4.17,,,,2.49,,,,,,,,,,
June,,,,,,,,,1.24,1.87,1.13,1.46,3.43,1.95,0.6,2,2.47,,,,1.24,,,,,,,,,,
July,,,,,,,,,2.87,2.66,3.7,1.67,2.17,0.77,2.88,3.35,4.62,,,,2.54,,,,,,,,,,
August,,,,,,,,,2.72,2.05,5.27,1.02,3.67,0.89,2.2,4.36,3.83,,,,4.97,,,,,,,,,,
September,,,,,,,,,3.89,2.08,0.64,1.09,2.76,2.39,0.58,1.92,1.41,,,,1.56,,,,,,,,,,
October,,,,,,,,,2.06,3.44,1.56,2.51,2.44,1.1,1.57,3.49,4.58,,,,0.82,,,,,,,,,,
November,,,,,,,,,2.07,0.98,3.04,4.03,1.81,2.53,3.34,1.26,3.83,,,,2.34,,,,,,,,,,
December,,,,,,,,,1.1,3.92,1.65,2.8,3.69,2.14,4.73,4.54,3.02,,,,3.64,,,,,,,,,,
Total,,,,,,,,,27.78,30.54,28.47,22.92,28,23.44,27.07,28.77,39.52,,,,29.52,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Jan part estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
