DUNFERMLINE BROOMHALL GARDENS,,,,,,,,,,,,
Grid ref,NT0755183514,Long,-3.485281,Lat,56.035558,,,,,,,
Station no,RR8266,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.97,3.31,,
February,,,,,,,,,1.47,0.98,,
March,,,,,,,,,3.70,3.98,,
April,,,,,,,,,1.55,2.96,,
May,,,,,,,,,2.14,2.31,,
June,,,,,,,,,1.24,1.87,,
July,,,,,,,,,2.87,2.66,,
August,,,,,,,,,2.72,2.05,,
September,,,,,,,,,3.89,2.08,,
October,,,,,,,,,2.06,3.44,,
November,,,,,,,,,2.07,0.98,,
December,,,,,,,,,1.10,3.92,,
Total,,,,,,,,,27.78,30.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,30.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
