BALLACHULISH HOUSE,,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,RR6123,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,7.14,10.36,16.50,13.02,9.44,16.78,7.52,10.74,11.05,,
February,,2.03,1.90,14.18,7.73,9.15,6.52,9.73,7.81,5.53,,
March,,5.08,9.64,21.47,7.11,11.11,6.31,8.09,9.84,0.72,,
April,,7.37,4.25,3.33,11.91,4.31,4.45,4.39,2.53,6.52,,
May,,1.13,4.29,5.19,7.63,4.25,5.30,7.56,5.59,6.17,,
June,,6.07,1.90,4.14,5.43,3.78,1.68,7.33,5.59,1.27,,
July,,4.45,4.14,7.64,5.57,6.77,6.70,3.70,4.75,4.39,,
August,,4.68,4.55,11.85,8.57,7.53,6.75,9.84,7.12,4.83,,
September,,8.50,7.02,7.22,10.01,9.76,6.28,3.15,9.67,3.10,,
October,,9.76,7.81,14.90,5.70,5.13,10.39,4.63,2.24,11.41,,
November,,5.26,5.47,7.69,6.17,7.68,6.48,9.47,6.29,7.33,,
December,19.09,9.33,10.07,7.46,11.18,8.19,10.38,11.29,10.79,7.39,,
Total,,70.80,71.40,121.57,100.03,87.10,88.02,86.70,82.96,69.71,,
Calc annual,19.09,70.80,71.40,121.57,100.03,87.10,88.02,86.70,82.96,69.71,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
