BALLACHULISH HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 04820 59214,Long,-5.188147,Lat,56.683791,Elevation,56,ft,,,,,,,,,,,,
Station no,RR6123,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,7.14,10.36,16.5,13.02,9.44,16.78,7.52,10.74,11.05,10.62,8.6,8.25,9.35,6.51,11.11,13.57,4.37,,
February,,2.03,1.9,14.18,7.73,9.15,6.52,9.73,7.81,5.53,12.95,12.81,6.23,9.3,11.47,9.69,11.96,1.18,,
March,,5.08,9.64,21.47,7.11,11.11,6.31,8.09,9.84,0.72,5.89,5.24,9.82,14.16,5.22,7.36,2.53,4.92,,
April,,7.37,4.25,3.33,11.91,4.31,4.45,4.39,2.53,6.52,6.29,8.79,7.97,7.72,7.24,8.18,5.89,3.36,,
May,,1.13,4.29,5.19,7.63,4.25,5.3,7.56,5.59,6.17,4.81,5.87,3.51,6.02,2.72,1.08,4.98,2.61,,
June,,6.07,1.9,4.14,5.43,3.78,1.68,7.33,5.59,1.27,1.66,2.11,6.21,6.07,3.07,1.56,3.27,5.35,,
July,,4.45,4.14,7.64,5.57,6.77,6.7,3.7,4.75,4.39,3.41,3.48,3.29,1.48,1.52,5.52,3.04,2.62,,
August,,4.68,4.55,11.85,8.57,7.53,6.75,9.84,7.12,4.83,5.98,2.77,4.13,2.37,6.86,3.18,5.37,10.22,,
September,,8.5,7.02,7.22,10.01,9.76,6.28,3.15,9.67,3.1,2.11,3.88,4.57,1.61,5.98,2.14,2.27,7.57,,
October,,9.76,7.81,14.9,5.7,5.13,10.39,4.63,2.24,11.41,4.98,4.78,7.55,7.93,3,3.33,15.28,14.36,,
November,,5.26,5.47,7.69,6.17,7.68,6.48,9.47,6.29,7.33,3,12.17,10.03,11.34,11.38,3.94,13.01,,,
December,19.09,9.33,10.07,7.46,11.18,8.19,10.38,11.29,10.79,7.39,8.65,16.47,25.2,7.02,17.46,9.3,5.09,,,
Total,,70.8,71.4,121.57,100.03,87.1,88.02,86.7,82.96,69.71,70.35,86.97,96.76,84.37,82.43,66.39,86.26,,,
,,,,,,,,,,,,,,,,,,,,
1917 Nov De Estd Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6123,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
