INCE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ445768,Long,-2.833937,Lat,53.28525,Elevation,95,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.35,2.78,1.54,3.3,1.21,2.06,1.52,3.18,3.83,3.8,4.07,2.06,2.7,1.98,2.82,3.24,4.6,1.98,4.11,3.35,2.74,1.61,2.27,,,,,,
February,,,0.9,1.19,2.02,2.61,3.41,1.18,2.34,1.29,2.6,0.23,2.97,4.71,0.89,4.46,2.85,1.62,2.58,1.2,0.27,3.15,0.11,2.49,0.5,,,,,,
March,,,4.01,3.33,2.94,1.72,1.88,1.24,1.08,5.32,3.68,1.6,2.33,1.41,0.79,0.9,0.99,3.4,2.2,0.45,3.53,0.44,1.81,2.44,1.9,,,,,,
April,,,0.21,3.92,0.73,1.15,1.95,0.85,1.35,1.48,4.88,1.52,2.6,2.3,1.95,2.25,0.92,2.49,1.29,1.14,2.34,2.61,2.76,0.87,2.75,,,,,,
May,,,2.15,2.7,1.77,1.75,2.81,3.64,3.29,0.73,4.21,1.65,1,3.57,6.71,3.49,3.64,1.26,1.59,2.09,1.06,2.63,5.18,1.63,2.05,,,,,,
June,,,3.52,2.17,2.06,0.7,2.38,2.14,2.12,1.76,3.24,0.34,1.83,0.84,2.98,0.04,1.67,5,5.31,1.98,1.11,5.44,0.61,1.77,2.05,,,,,,
July,,,2.54,1.58,5.33,4.48,1.52,1.42,4.14,1.67,6.05,0.94,4.15,3.24,4.88,2.8,3.01,3.37,2.15,2.94,5.71,2.93,4.35,1.51,1.08,,,,,,
August,,,6.51,2.98,2.06,3.55,2.48,5.75,1.43,3.82,1.66,4.85,3.65,3.81,5.65,4.25,3.47,5.3,3.41,4.75,4.22,6.2,1.65,1.43,2.65,,,,,,
September,,,1.28,1.5,2.21,0.9,3.02,1.63,6.41,2.55,3.44,0.97,3.84,3.31,4.09,5.28,5.07,6.82,3.13,1.35,3.32,3.08,3.11,0.67,2.19,,,,,,
October,,,3.11,2.61,1.38,1.89,3.83,5.52,1.86,3.5,1.67,2.75,0.5,5.04,3.95,4.46,3.69,2.79,1.6,5.29,5.18,1.72,7.03,4.33,4.11,,,,,,
November,,,3.04,2.66,3.35,2.17,2.28,3.06,2.31,2.26,0.81,2.34,1.53,3.09,1.91,2.81,4.44,4.46,4.81,5.04,3.75,4.12,3.49,1.58,2.34,,,,,,
December,,,2.46,1.77,5.06,5.08,2,1.37,5.38,6.13,2.15,3.45,4.52,4.51,3.26,2.67,1.07,1.51,2.27,4.8,4.34,2.14,1.24,0.46,5.03,,,,,,
Total,,,34.08,29.19,30.45,29.3,28.77,29.86,33.23,33.69,38.22,24.44,32.99,37.89,39.76,35.39,33.64,41.26,34.94,33.01,38.94,37.81,34.08,20.79,28.92,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Ince Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
