JARVIS BROOK (SALTERS),,,,,,,,,,,,
Grid ref,TQ529296,Long,0.179806,Lat,51.045409,,,,,,,
Station no,566/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.81,3.17,1.23,1.60,4.65,5.66,2.26,4.04,,,,
February,7.81,1.09,1.61,3.08,2.61,1.03,5.18,2.71,,,,
March,4.32,3.81,0.25,4.11,1.46,0.99,1.56,2.14,,,,
April,2.62,1.85,2.80,0.56,0.34,1.46,0.30,1.48,,,,
May,1.84,1.27,1.49,2.10,5.15,0.41,1.58,2.52,,,,
June,2.70,1.92,2.06,3.65,2.93,3.47,2.00,4.91,,,,
July,2.91,0.76,3.81,4.80,1.58,4.44,3.54,-999.00,,,,
August,6.02,3.22,2.33,3.83,1.01,4.76,2.86,,,,,
September,4.17,3.65,4.65,3.17,3.08,3.57,4.01,,,,,
October,1.65,3.71,3.83,3.54,5.04,1.86,1.58,,,,,
November,7.10,5.46,2.07,6.50,1.67,1.30,3.22,,,,,
December,3.68,3.80,1.07,2.33,3.50,5.48,2.81,100.00,,,,
Total,48.63,33.71,27.20,39.27,33.02,34.43,30.90,100.00,,,,
Calc annual,48.63,33.71,27.20,39.27,33.02,34.43,30.90,117.80,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-17.80,NaN,NaN,,
