MUTHILL ORCHILL NEAR THE HIGHEST PART OF THE ROAD BETWEEN STIRLING & CRIEFF,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 859 127,Long,-3.84377,Lat,56.293021,Elevation,648,ft,,,,,,,,,,,,
Station no,RR1663,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,6.9,,8,4,7,,,,0.4,4.3,5.3,9.7,4.7,,,,
February,,,,3.3,,1.9,4.8,2.7,,2.2,,5.5,4.6,5.3,3.4,5.1,,,,
March,,,,2.3,,2.3,5,2,,5.4,,2.2,6.5,1,3.1,4.5,,,,
April,,,,0.4,,1.3,4,2.5,,1.6,,1.5,4,2,1,4.4,,,,
May,,,,2.2,,2,0.3,2.4,,2.8,,2.5,2.5,3.2,4.5,6.2,,,,
June,,,,1.2,,3,2.7,5.6,,3.1,,3.2,4.6,2.4,0.4,0.4,,,,
July,,,,4.3,,4.4,2,5.3,,5.6,,4.2,4.3,7,4.3,1.9,,,,
August,,,,5,,2.7,3.7,10.1,,5,,2,2.2,4.5,3.3,1.3,,,,
September,,,,3,,4.8,5.5,2.4,,5.7,,2.3,3,3.3,4.1,8.8,,,,
October,,,,5.8,,7.3,7.5,7.4,,1.7,,3.2,5.7,5.4,5,1.2,,,,
November,,,,1.7,,6.7,4.5,6,,1,,8.3,4.5,7.5,4.2,4,,,,
December,,,,0.2,,7.5,7,5.7,,2,,3.4,5.2,3.8,8.2,3.7,,,,
Total,,,,36.3,,51.9,51,59.1,,,,38.7,51.4,50.7,51.2,46.2,,,,
