EDINBURGH (UNIV. KING'S B),,,,,,,,,,,,,,,,,,,,
Grid ref,NT268706,Long,-3.172922,Lat,55.922886,Elevation,224,ft,,,,,,,,,,,,
Station no,5138/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.83,2.19,1.26,3.64,2.43,3.39,3.61,1.03,2.19,3.11,2.24,1.98,2.96,1.93,,,,
February,,,1.17,0.07,1.69,2.74,3.19,0.57,1.4,0.86,2.82,1.46,1.01,0.8,3.48,1.54,,,,
March,,,0.86,2.91,0.87,1.88,1.97,0.49,2.61,2.48,3.07,1.07,1.31,0.58,1.03,1.6,,,,
April,,,1.87,4.17,3,1.35,0.96,0.07,1.09,2.04,1.23,1.46,0.83,1.8,1.12,,,,,
May,,,1.59,1.18,0.99,0.95,2.47,4.17,1.12,1.96,2.93,1.39,3.5,2.38,4.08,,,,,
June,,,1.77,2.66,2.12,1.31,0.94,2.56,1.31,0.52,0.88,1,1.81,2.11,1.78,,,,,
July,,,4.57,2.49,0.56,4.3,5.63,2.35,2.19,8.07,3.09,3.26,2.73,3.14,2.2,,,,,
August,,,0.84,3.12,1.97,1.09,4.26,1.13,0.96,0.72,2.97,2.45,3.66,2.38,3,,,,,
September,,,1.8,1.64,3.36,2.79,1.59,2.21,1.33,2.37,0.93,2.69,1.18,4.69,3.15,,,,,
October,,5.85,2.34,3.27,6.39,0.88,3.98,4.52,1.8,2.33,3.26,2.51,3.04,2.38,3.67,,,,,
November,,1.55,1.57,1.07,3.77,2,0.23,4.58,3.51,3.78,1.87,0.61,1.2,5.41,0.33,,,,,
December,,5,0.95,2.93,1.18,2.06,2.57,2.19,0.93,1.82,1,1.52,0.95,2.19,2.34,,,,,
Total,,,22.16,27.7,27.16,24.99,30.22,28.23,21.86,27.98,26.24,22.53,23.46,29.84,29.14,,,,,
