"LISBURN (AGHALEE) - 9"" gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,IJ123651,Long,-6.2657154,Lat,54.522651,Elevation,105,ft,,,,,,,,,,,,
Station no,RR2719,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,2.96,3.21,,3.79,1.7,4.29,,,,
February,,,,,,,,,,,1.9,2.84,,0.63,1.9,1.33,,,,
March,,,,,,,,,,,1.45,1.35,,2.02,1.71,0.94,,,,
April,,,,,,,,,,,1.2,2.81,,0.62,1.45,0.5,,,,
May,,,,,,,,,,,2.17,0.54,,1.71,0.5,1.95,,,,
June,,,,,,,,,,,1.06,2.02,,1.92,1.37,3.84,,,,
July,,,,,,,,,,,2.24,5.05,,7.11,2.16,3.34,,,,
August,,,,,,,,,,,1.45,3,,4.88,4.82,2.8,,,,
September,,,,,,,,,,,2.28,2.55,,2.87,2.5,3.14,,,,
October,,,,,,,,,,,7.54,2.4,,2.75,4.1,5.3,,,,
November,,,,,,,,,,,1.57,2.02,,2.33,3.7,3.93,,,,
December,,,,,,,,,,,2.96,2.15,,0.75,3.72,2.17,,,,
Total,,,,,,,,,,28.76,28.78,29.94,,31.38,29.63,33.53,,,,
