BRIDGWATER-ANTONY,,,,,,,,,,
Grid ref,ST277378,Long,-3.03472,Lat,51.13489,Elevation,110,ft,,
Station no,2082/3/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.45
February,,,,,,,,,,3.03
March,,,,,,,,,,1.85
April,,,,,,,,,,2.29
May,,,,,,,,,,1.04
June,,,,,,,,,,1.25
July,,,,,,,,,,5.53
August,,,,,,,,,,2.88
September,,,,,,,,,,2.75
October,,,,,,,,,,10.49
November,,,,,,,,,,2.83
December,,,,,,,,,,2.93
Total,,,,,,,,,,40.32
,,,,,,,,,,
House not found NGR from sheet,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9256,,,,,,,,,,
1960-1971,,,,,,,,,,
