DEVONPORT-STOKE-TAMAR-TERRACE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX457552 ,Long,-4.1708,Lat,50.3768,Elevation,145,ft,,,,,,,,,,,,
Station no,RR1087,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,,,,,,6.08,9.04,4.71,3.91,1.8,8.19,1.94,4.09,2.07,1.9,,
February,,,,,,,,,5.18,9.1,3.25,0.54,3.25,6.99,2.77,3.28,7.05,2.29,,
March,,,,,,,,,8.3,2.69,1.7,7.31,3.26,3.02,4.42,2.41,3.44,5.81,,
April,,,,,,,,,3.61,2.78,1.35,3.12,3.22,2.14,3.19,3.59,0.95,1.79,,
May,,,,,,,,,2.29,2.5,3.37,2.85,1.53,2.66,1.63,4.22,1.19,3.72,,
June,,,,,,,,,1.02,4.44,1.4,0.56,1.77,1.89,3.68,1.57,0.31,2.33,,
July,,,,,,,,,2.05,0.98,2.02,4.07,4.35,2.71,3.87,0,0.64,,,
August,,,,,,,,1.15,0.47,1.08,3.45,2.55,1.72,3.25,2.07,3.4,3.92,,,
September,,,,,,,,1.29,6.4,4.92,3.89,4.43,0.47,1.56,2.9,3.96,8.58,,,
October,,,,,,,,3.1,4.94,3.21,6.05,8.13,9.25,6.31,5.05,3.15,2.55,,,
November,,,,,,,,3.27,4.66,3.17,3.76,6.54,10.9,2.9,5.78,6.26,3.08,,,
December,,,,,,,,6.97,3.51,11.97,5.08,9.88,3.27,6.4,6.33,6.22,5.54,,,
Total,,,,,,,,,48.51,55.88,40.03,53.89,44.79,48.02,43.63,42.15,39.32,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1825 July – two or three showers but not enough to register,,,,,,,,,,,,,,,,,,,,
