BROCKENHURST-WEIRS-END,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU295021,Long,-1.58191,Lat,50.8183,Elevation,45,ft,,,,,,,,,,,,,,
Station no,638,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.29,5.29,2.6,2.71,2.45,2.88,0.82,5.98,5.82,4.05,5.51,2.8,4.54,,,,,,,,,
February,1.28,0.63,2.19,0.11,3.72,0.04,3.79,3.49,6.27,0.62,1.79,4.78,3.45,,,,,,,,,
March,0.27,1.77,1.47,1.6,3.81,3.15,1.08,2.78,3.83,0.49,1.9,3.63,4.59,,,,,,,,,
April,1.36,3.28,2.96,3.25,1.49,2.42,3.34,1.97,2.59,0,2.52,1.01,2.22,,,,,,,,,
May,3.09,2.25,3.03,4.3,2.33,0.71,1.13,1.11,3.46,1.71,1.24,0.54,2.14,,,,,,,,,
June,1.25,1.29,2.27,2.06,1.46,1.22,5.41,2.86,0.9,0.61,2,0.18,1.53,,,,,,,,,
July,2.64,2.6,4.33,2.76,2.03,1.85,2.14,3.9,1.61,2.88,3.62,3.44,1.73,,,,,,,,,
August,1.48,3.71,4.43,0.83,1.08,4.34,3.06,0.26,1.1,1.78,1.93,0.08,4.6,,,,,,,,,
September,0.36,3.55,1.68,3.72,2.82,2.75,4.3,3.94,3.48,1.43,1.84,1.17,0.69,,,,,,,,,
October,4.81,2.4,0.79,6.52,1.66,1.81,5.23,1.3,4.3,4.42,6.77,5.01,1.06,,,,,,,,,
November,9.51,6.1,4.4,2.59,0.59,3.2,9.34,4.05,2.1,5.36,6.94,8.82,2.65,,,,,,,,,
December,6.84,3.87,0.91,1.28,1.01,10.81,4.41,4,5.77,4.27,1.91,3.37,2.29,,,,,,,,,
Total,34.18,36.74,31.06,31.73,24.45,35.18,44.05,35.64,41.23,27.62,37.97,34.83,31.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1929 Gauge moved from Setley,,,,,,,,,,,,,,,,,,,,,,
Weirs End Burley Road,,,,,,,,,,,,,,,,,,,,,,
1942 Record terminated,,,,,,,,,,,,,,,,,,,,,,
