COLERAINE observer Williamson,,,,,,,,,,,,,,,,,,,,
Grid ref,IC8432132425,Long,-6.67861,Lat,55.13207,Elevation,25,ft,,,,,,,,,,,,
Station no,RR2239,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.33,2.52,2.23,2.93,4.52,5.89,2.17,5.51,,,
February,,,,,,,,,,2.29,2.47,4.04,2.8,3.21,4,4.64,3,,,
March,,,,,,,,,,2.17,2.3,4.11,4.05,1.67,3.46,2.37,3.1,,,
April,,,,,,,,,1.08,1.91,3.28,1.49,2.81,1.34,1.3,1.88,1.82,,,
May,,,,,,,,,4.08,3.69,1.32,2.89,2.99,2.59,3.19,2.03,3.03,,,
June,,,,,,,,,4.11,4.33,1.91,4.14,4.01,2.89,1.05,0.72,2.42,,,
July,,,,,,,,,1.27,4.39,5.54,3.2,5.81,2.94,3.02,1.57,2.53,,,
August,,,,,,,,,4.17,3.08,1.92,4.68,2.91,6.21,4.11,1.95,1.56,,,
September,,,,,,,,,3.97,3.97,3.18,2.3,4.75,5.2,4.26,4.8,3.98,,,
October,,,,,,,,,4.28,1.76,2,4.4,2.6,4.15,4.49,4.21,3.2,,,
November,,,,,,,,,3.69,1.67,3.36,3.89,7.06,5.07,5.09,2.67,3.27,,,
December,,,,,,,,,5.04,1.92,3.7,3.59,4.53,3.42,5.82,2.98,6.96,,,
Total,,,,,,,,,,33.51,33.5,40.96,47.25,43.21,45.68,31.99,40.38,,,
,,,,,,,,,,,,,,,,,,,,
Coleraine church 700 yds E,,,,,,,,,,,,,,,,,,,,
1858 Jan,,,,,,,,,,,,,,,,,,,,
