"COLERAINE",,,,,,,,,,,,
Grid ref,IC8489332031,Long,-6.669774,Lat,55.128439,,,,,,,
Station no,RR2239,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.03,4.01,3.27,5.89,4.50,2.41,4.74,3.13,,,,
February,2.81,1.93,1.45,3.30,2.96,2.57,3.15,2.95,,,,
March,0.78,2.99,2.07,4.82,1.86,3.78,3.08,5.24,,,,
April,3.00,2.59,1.76,1.76,2.52,2.68,3.84,2.58,,,,
May,4.05,1.87,4.15,2.61,2.60,1.72,3.69,5.20,,,,
June,3.55,3.18,1.59,0.94,0.15,1.84,1.44,5.27,,,,
July,2.72,1.23,3.67,4.35,2.47,2.92,2.04,3.64,,,,
August,3.66,5.20,2.35,4.91,6.41,4.76,4.28,5.00,,,,
September,4.81,3.42,4.92,3.81,2.96,2.85,1.27,1.32,,,,
October,5.45,3.21,2.18,6.90,2.45,3.72,4.12,4.47,,,,
November,5.82,5.63,3.91,3.52,4.98,4.58,4.37,3.80,,,,
December,4.41,3.92,4.50,2.77,3.11,3.14,5.75,3.99,,,,
Total,45.09,39.18,35.82,45.58,36.97,36.97,41.77,46.59,,,,
Calc annual,45.09,39.18,35.82,45.58,36.97,36.97,41.77,46.59,0.00,0.00,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
