COLERAINE observer W R Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC8404832082,Long,-6.683,Lat,55.12904,Elevation,52,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,5.62,2.15,5.62,2.48,2.51,3.43,4.46,2.11,3.15,2.19,4.95,2.64,1.98,1.3,1.78,,4.03,4.01,3.27,5.89,4.5,2.41,4.74,3.13,,
February,,,,,3.52,3.65,3.01,1.93,1.42,4.09,0.97,0.17,1.8,3.48,5.91,0.88,2.9,1.87,5.05,,2.81,1.93,1.45,3.3,2.96,2.57,3.15,2.95,,
March,,,,,3.2,2.43,2.13,1.75,2.56,2.02,2,3.3,1.35,1.68,2.4,3.42,4.18,4.46,1.76,,0.78,2.99,2.07,4.82,1.86,3.78,3.08,5.24,,
April,,,,,1.35,1.78,1.82,2.23,2,2.77,1.53,0.85,1.52,2.07,1.46,1.38,1.93,2.47,3.57,,3,2.59,1.76,1.76,2.52,2.68,3.84,2.58,,
May,,,,,3.06,2.07,3.03,2.6,1.99,3.22,1.6,2.81,4.24,1.04,2.11,0.82,1.02,2.27,3.27,,4.05,1.87,4.15,2.61,2.6,1.72,3.69,5.2,,
June,,,,,0.82,0.91,2.42,0.93,3.44,0.48,3.1,1.5,3.45,1.68,1.78,2.26,3.63,6.01,3.16,,3.55,3.18,1.59,0.94,0.15,1.84,1.44,5.27,,
July,,,,,2.99,1.43,2.53,2.77,5.84,4.05,3.94,3.44,2.73,2.33,3.65,3.47,4.62,2.31,0.52,,2.72,1.23,3.67,4.35,2.47,2.92,2.04,3.64,,
August,,,,,3.88,1.88,1.56,3.41,5.88,6.36,3.99,5.76,4.43,5.41,2.12,4.74,2.65,4.94,4.34,,3.66,5.2,2.35,4.91,6.41,4.76,4.28,5,,
September,,,,,4.1,4.58,3.98,4.59,1.48,3.1,3.74,2.56,2.63,4.83,0.48,0.64,4.18,3.22,5.01,,4.81,3.42,4.92,3.81,2.96,2.85,1.27,1.32,,
October,,,,,4.32,4.03,3.2,2.83,2.57,4.45,2.73,3.24,3.77,5.83,3.34,7.86,4.61,2.42,3.04,,5.45,3.21,2.18,6.9,2.45,3.72,4.12,4.47,,
November,,,,,4.75,2.67,3.27,2.63,5.13,2.47,8.57,3.67,3.8,2.73,2.25,3.15,1.25,2,3.56,,5.82,5.63,3.91,3.52,4.98,4.58,4.37,3.8,,
December,,,,,4.98,2.94,6.96,3.67,2.69,3.56,1.6,3.74,3.16,3.82,3.76,5.84,4.51,5.13,4.28,,4.41,3.92,4.5,2.77,3.11,3.14,5.75,3.99,,
Total,,,,,42.59,30.52,39.53,31.82,37.51,40,38.23,33.15,36.03,37.09,34.21,37.1,37.46,38.4,39.34,40.5,45.09,39.18,35.82,45.58,36.97,36.97,41.77,46.59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleraine St Patrick's church 1/4 mile N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
