COLERAINE observer Campbell,,,,,,,,,,,,,,,,,,,,
Grid ref,IC8496133351,Long,-6.6683,Lat,55.14028,Elevation,176,ft,,,,,,,,,,,,
Station no,RR2239,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.01,1.71,0.93,2.32,3.94,4.9,2.24,4.35,1.93,,
February,,,,,,,,,,0.96,1.64,3.94,2.18,3.75,3.33,3.55,2.58,2.44,,
March,,,,,,,,,,1.19,1.78,3.09,3.7,1.36,2.92,2.31,1.99,2.08,,
April,,,,,,,,,,1.42,2.98,1.26,2.46,1.27,1.43,1.62,1.97,2.35,,
May,,,,,,,,,,2.99,1.06,2.57,3.31,2.56,2.73,1.86,2.98,2.4,,
June,,,,,,,,,,3.37,1.82,3.81,3.7,2.51,0.97,0.8,2.87,0.86,,
July,,,,,,,,,,3.82,5.07,2.6,5.62,2.79,2.6,1.54,2.53,2.74,,
August,,,,,,,,,,2.48,1.68,3.84,2.76,5.79,3.5,1.76,1.55,3.66,,
September,,,,,,,,,,2.71,3.44,2.2,4.57,5.17,3.82,4.75,3.88,3.76,,
October,,,,,,,,,,1.21,1.86,3.59,2.4,4.04,3.23,4.21,3.48,4.51,,
November,,,,,,,,,,1.25,4.35,3.42,6.7,4.42,5.49,2.05,4.29,2.87,,
December,,,,,,,,,,0.99,3.36,3.5,4.37,3.14,4.17,2.61,5.69,4.38,,
Total,,,,,,,,,,23.4,30.75,34.75,44.09,40.74,39.09,29.3,38.16,33.98,,
,,,,,,,,,,,,,,,,,,,,
Coleraine church 1 mile SE - NGR at this point,,,,,,,,,,,,,,,,,,,,
