SPORLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF848113,Long,0.7315069,Lat,52.667901,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3.75,0.88,1.26,1.7,1.77,1.05,3.74,1.27,1.07,0.92,2.31,1.99,2.81,2.84,1.88,3,1.74,2.69,2.58,3.01,2.09,2.52,3.56,2.03,2.28,1.06,3.22,2.32,4.4,2.36,1.96,2.28,1.09,1.29,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3.21,1.19,1.13,0.6,3.08,1.34,2.53,1.48,2.2,0.49,2.75,1.92,1.48,0.83,1.47,3.25,4.5,0.95,1.32,2.85,0.87,0.45,3.39,3.52,1.34,2.86,2.22,2.18,1.29,0.6,1.22,2.71,1.22,2.14,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.96,1.91,1.5,2.42,1.64,2.79,2.05,1.33,2.36,3.1,1.01,2.94,3.63,2.32,3.78,1.67,3.3,1.87,0.86,2.42,1.62,1.39,2.4,1.66,1.02,1.8,0.42,2.39,1.52,0.28,1.37,0.56,1.5,2.39,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.44,2.3,1.16,2.03,1.03,1.96,0.75,3.28,2.82,1.27,2.39,1.22,0.46,2.44,0.69,1,1.94,1.75,2.7,2.03,3.24,1.99,2.11,1.03,2.11,2.28,2.23,1.98,1.42,0.9,2.5,4.12,3.38,1.19,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.75,0.97,4.15,2.25,1.71,1.57,1.49,2.65,1.85,1.19,3.75,1.81,2.75,2.09,1.11,1.69,2.4,0.52,2.79,0.55,2.21,1.49,0.96,1.72,3.04,2.99,2.74,1.16,2.04,1.54,3.59,3.31,4.59,2.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.59,1.44,2.56,2.56,1.05,2.88,2.58,2.53,1.18,4.25,2.8,4.49,3.25,1.19,1.87,0.84,3.68,1.34,0.92,1.77,1.64,0.7,1.37,0.72,2.18,0.69,3.17,5.96,3.26,1.24,1.62,1.35,0.71,3.39,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.9,1.06,2.7,3.73,3.24,0.77,0.51,1.48,3.46,3.88,3.82,0.36,3.22,1.25,1.35,3.94,1.21,2.06,3.54,3.03,3.65,1.42,4.38,2.86,1.99,1.69,1.5,3.43,2.17,2.54,5.29,3.94,3.22,2.31,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,4.06,1.34,2.52,3.84,3.09,2.99,1.89,2.11,2.73,2.78,2.31,0.78,7.5,1.03,1.35,1.91,3.39,4.74,1.97,2.47,1.59,1.57,2.27,2.46,2.78,2.37,1.79,3.1,2.15,1.27,2.88,3.21,1.67,0.82,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.71,1.21,1.14,4.22,1.99,3.03,1.42,0.62,2.26,1.84,1.36,2.88,2.52,1.11,1.18,1.36,1.58,2.3,5.42,0.95,2.44,1.14,3.68,2.24,3,3.36,1.15,3.4,0.56,0.48,5.79,2.22,2.64,2.49,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.35,2.57,1.81,6.12,1.18,3.51,4.44,3.17,1.5,4.7,1.65,2.51,2.74,3.55,2.47,1.52,2.81,3.77,2.12,2.38,0.79,1.68,0.88,3.4,4.55,2.34,2.37,2.71,3.44,3.51,1,1.52,6.57,3.31,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2.68,2.32,1.28,1.97,1.6,2.7,3.71,2.68,1.34,1.18,3.31,4.67,3.21,2.66,2.69,3.41,2.91,2.13,2.08,2.42,0.8,1.4,1.88,2.48,2.14,2.88,4.05,3.4,2.35,4.63,3.73,2.38,1.52,1.91,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3.03,3.55,1.5,1.22,1.74,1.14,2.09,2.6,1.51,4.6,4.03,3.8,3.05,0.73,5.71,4.31,3.34,1.12,3.86,4.74,2.83,1.71,2.67,3.53,2.29,2.65,1.08,2.3,2.72,4.67,2.16,1.23,0.68,0.69,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,28.43,20.74,22.71,32.66,23.12,25.73,27.2,25.2,24.28,30.2,31.49,29.37,36.62,22.04,25.55,27.9,32.8,25.24,30.16,28.62,23.77,17.46,29.55,27.65,28.72,26.97,25.94,34.33,27.32,24.02,33.11,28.83,28.79,24.13,21.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Total IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
