ACCRINGTON (OAK HILL PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD765278,Long,-2.357811,Lat,53.746039,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2954/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.28,2.68,5.98,4.74,5.9,6.4,1.93,1.64,5.43,6.93,6.65,4.6,4.87,3.8,8.99,3.02,3.96,5.41,5.92,1.99,4.99,2.41,5.96,4.21,4.98,3.35,5.94
February,,,,0.36,7.16,2.9,5.86,1.78,4.82,2.48,4.9,1.43,2.99,2.47,5.68,6.49,1.26,3.11,3.79,5.98,4.4,1.74,1.79,4.21,2.27,1.23,4.87,7.58,0.57,4.32
March,,,,2.87,1.13,2.87,2.14,1.98,2.66,3.06,4.11,4,1.08,0.77,1.68,0.94,7.03,2.47,2.14,1.59,5.31,2,2.36,2.91,2.2,1.71,4.08,1.78,2.21,1.08
April,,,,2.51,3.97,1.01,3.2,1.05,2.54,3.8,1.86,2.89,2.98,3.17,2.6,1.23,4.39,2.35,4.88,3.67,2.73,3.69,4.12,0.88,3.22,2.05,0.53,1.35,3.74,3.32
May,,,,3.87,1.36,1.06,1.84,3.81,1.52,0.87,2.77,4.43,3.28,3.45,3.3,1.78,2.5,2.1,3.8,2.46,1.97,3.1,2.53,3.07,4.4,1.61,2.39,5.19,1.51,1.88
June,,,,2.37,3.86,3.92,3.83,4.68,3.71,1.03,0.24,1.7,3.9,2.64,6.36,2.6,3.26,7.16,1.15,2.29,1.45,4.26,2.75,3.11,2.89,3.18,3.27,4.26,3.69,1.51
July,,,3.49,2.52,1.87,4.27,1.76,4.56,6.82,5.27,2.72,6.22,3.2,3.46,3.12,4.41,3.48,2.28,2.48,4.4,3.71,2.62,5.15,6.07,0.94,5.8,6.05,4,4.13,10.03
August,,,2.73,4.91,1.64,2.4,3.16,3.37,3.3,3.2,6.39,5.08,6.65,3.82,2.85,6.37,0.19,3.92,3.04,8.54,5.33,6.05,5.46,7.35,1.04,11.19,7.52,3.67,0.7,7.05
September,,,1.46,3.53,7.85,5.28,1.68,2.08,1.27,4.68,1.83,3.52,4.69,5.04,3.13,5.98,3.84,3.19,2.12,7.78,3.34,4.84,5.23,5.91,3.58,3.77,7.53,4.97,0.36,3.4
October,,,4.74,6.09,9.92,5.25,2.28,10.89,2.25,5.02,5.48,8.12,3.81,5.83,7.5,1.24,0.89,3.05,5.93,3.39,1.08,4.98,2.47,8.49,3.62,3.05,6.18,4.53,5.84,4.64
November,,,2.63,2.12,5.63,5.72,2.1,8.01,8.01,8.5,3.68,1.27,3.84,7.19,0.44,7.13,5.99,2.85,7.16,6.56,9.57,2.47,6.34,7.77,3.17,2.36,2.6,1.72,5.9,8.71
December,,,0.63,6.89,4.25,6.53,2.91,5.8,3.26,5.65,4,4.71,3.02,5.82,3.12,5.41,3.69,5.06,6.41,2.99,10.82,4.49,2.53,7.85,6.8,6.05,6.32,4.35,9.68,5.51
Total,,,,42.32,51.32,47.19,35.5,53.91,46.56,45.49,39.62,48.8,46.37,50.31,44.38,48.45,40.32,46.53,45.92,53.61,55.12,46.16,42.72,62.61,36.54,47.96,55.55,48.38,41.68,57.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src_id 12422,ACCRINGTON: OAK HILL PARK ,01/01/1933,31/12/1975,SD7649527673,,,,,,,,,,,,,,,,,,,,,,,,,,
