ATHLONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IN0481242097,Long,-7.92833,Lat,53.429173,Elevation,128,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.93,2.5,1.85,1.79,1.41,2.07,4.1,5.03,3.54,3.56,5.44,3.13,1.5,4.78,1.37,2.89,2.69,3.09,1.74,2.77,4.28,1.14,3.08,1.77,0.63,2.42,2.56,3.16,2.33,2.34,1.71,2.99,2.6,3.82,3.34,4.59,1.76,3.45,2.21,3.32,3.49,4.68,1.54,4.22,3.86,4.58,4.39,3.23
February,,,,2.43,2.8,0.5,1.23,2.36,2.16,2.83,1.84,1.17,2.06,3.29,4.89,0.81,2.26,1.62,1.68,1.07,4.23,2.52,3.36,1.33,3.81,2.93,2.18,1.41,2.87,1.6,1.93,0.55,3.31,4.54,0.73,3.17,2.15,2.78,3.73,2.94,0.47,3.12,0.17,2.15,0.16,3.76,2.04,4.7,1.75,2.68,3.86
March,,,,0.75,2.19,2.56,4.3,4.7,1.09,1.36,0.36,3.04,2.84,6.22,2.48,3.94,2.15,2.59,3.44,2.03,2.31,0.98,3.69,3.18,3.01,0.47,1.37,2.15,1.43,1.45,2.71,1.84,1.42,1.65,0.92,0.22,0.87,3.47,2.9,0.67,3.91,2.8,1.88,3.73,3.36,2.04,2.36,2.21,1.57,2.48,4.52
April,,,,0.53,3.53,1.35,0.91,4.12,2.69,3.01,2.23,2.31,2.56,1.49,2.04,1.04,1.17,1.44,1.58,3.82,2.66,1.68,0.48,2.92,1.32,1.69,2.76,1.14,0.9,0.99,1.66,1.27,2.12,2.01,2.22,2.82,1.46,1.34,1.87,0.86,1.8,3.31,2.6,1.42,1.65,2.75,2.01,2.66,0.12,2.09,3.27
May,,,,2.41,2.94,0.26,0.32,1.14,3.47,2.82,2.46,1.43,1.68,1.29,1.88,1.14,3.18,2.59,2.53,1.65,1.68,2.17,0.68,3.5,1.41,0.51,3,2.9,1.4,2.82,2.29,1.37,1.7,0.78,2.74,3.91,2.12,1.12,1.66,2.25,1.96,3.52,2.25,1.8,2.38,1.11,1.32,2.6,3.64,1.06,1.89
June,,,,1.99,1.97,0.75,2.69,3.76,3.04,2.66,4.02,2.33,1.03,1.66,0.96,1.44,1.35,2.67,1.43,1.05,4.22,2.05,4.37,1.82,0.7,1.67,2.28,1.66,1.25,1.64,1,0.17,1.22,0.79,3.32,0.59,2.61,2.68,6.71,1.69,1.48,4.73,0.65,2.82,2.01,5.77,2.48,2.36,3.23,2.45,1.17
July,,,,2.04,2.99,4.5,7.21,2.62,1.06,2.01,1.59,1.08,1.17,3.7,2.22,0.73,3.1,1.65,1.69,1.5,2.31,2.48,3.58,0.61,1.87,3.86,1.68,2.37,2.91,0.96,3.13,2.42,2.43,2.08,2.65,1.95,2.62,3.43,1.68,3.35,3.51,3.59,4.13,4.14,2.04,0.74,7.04,4.45,5.22,3.74,3.39
August,,,,3.57,2.33,4.5,2.19,4.91,5.75,1.88,5.59,2.17,2.19,5.65,4.28,4.2,3.75,3.19,2.4,0.75,4.88,2.86,3.69,0.82,4.37,3.42,3.03,6.47,1.81,1.73,1.94,3.12,2.87,3.92,3.27,1.75,3.48,5.4,4.18,4.42,5.74,2.98,1.2,1.84,5.5,2.57,1.49,3.11,3.04,1.82,0.61
September,,,3.77,2.13,0.27,0.35,4.55,1.98,2.92,2.12,2.08,4.1,2.37,3.53,2.17,1.77,0.48,1.14,4.87,2.34,0.78,1.88,0.21,2.84,1.28,1.04,1.89,1.76,5.16,2.28,1.34,0.73,2.62,2.59,3.86,1.81,2.14,4.92,2.25,1.24,3.78,2.44,3.62,1.07,5.77,6.67,4.36,5.83,2.53,1.99,2.13
October,,,1.99,2.82,3.56,2.74,2.65,2.67,2.21,1.79,6.51,3.55,1.92,4.11,1.94,0.94,4.14,3.15,1.33,4.25,1.27,3.8,2.18,2.47,0.85,2.4,5.64,4.27,2.78,0.88,2.44,2.64,1.41,4.1,3.67,2.28,2.58,2.77,4.66,3.74,4.46,1.78,3.09,2.39,3.99,3.88,2.26,1.66,7.02,2.26,5.29
