RED-HILL-LINKFIELD-LANE,,,,,,,,,,,,,,
Grid ref,TQ278511,Long,-0.17002,Lat,51.24485,Elevation,290,ft,,,,,,
Station no,RR8071,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.39,2.36,1.51,2.62,1.59,2.84,4.29,0.87,,,,,
February,,1.99,1.5,0.66,4.39,1.64,2.27,1.23,4.65,,,,,
March,,1.19,3.3,3.71,1.18,2.08,4.38,3.38,5.01,,,,,
April,,4.14,2.99,2.01,1.83,1.97,0.07,3.23,1.22,,,,,
May,,2.6,2.45,1.64,2.49,2.19,1.31,2.09,1.25,,,,,
June,2.41,2.02,2.02,2.68,1.87,2.58,4.25,0.51,0.72,,,,,
July,0.71,1.88,3.42,4.17,3.43,0.35,1.37,3.68,2.44,,,,,
August,1.64,3.26,4.76,2.78,3.61,0.45,5.92,2.24,1.37,,,,,
September,1.82,0.62,1.76,3.06,1,1.49,3.39,1.56,1.04,,,,,
October,4.69,4.45,2.48,5.47,2.92,4.29,3.31,4.42,1.66,,,,,
November,5.57,2.83,1.21,1.01,3.69,5,2.75,2.73,4.12,,,,,
December,2.78,3.88,3.28,4.11,4.14,7.27,3.83,1.54,8.35,,,,,
Total,,30.25,31.53,32.81,33.17,30.9,35.69,30.9,32.7,,,,,
,,,,,,,,,,,,,,
Sid Court 19 Linkfield Lane,,,,,,,,,,,,,,
1906 June Station re-started ,,,,,,,,,,,,,,
