ANGERSLEIGH-LEIGH-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST197176,Long,-3.144551,Lat,50.952217,Elevation,530,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2061/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.37,4,0.76,2.43,1.07,5.92,5.83,2.8,1.7,4.02,4.29,1.03,6.01,1.25,,1.39,3.76,0.78,3.99,6.6,0.81,4,1.38,0.85,5.23,7.24,5.73,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,1.17,0.58,5.04,4.27,0.88,2.06,5.83,4.78,3.16,3.99,5.27,3.62
February,,,,,3.1,0.22,0.68,4.36,1.55,4.82,5.49,0.74,2.08,2.27,7.82,0.72,3.09,1.54,,0.35,4.93,1.7,3.34,1.18,4.45,7.35,7.07,0.98,1.29,3.72,0.87,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,1.44,7.22,6.73,0.94,1.81,3.83,3.76,0.13,6.02,4.11,0.31,4.49
March,,,,,2.85,3.06,3.43,5.41,0.94,0.78,1.81,3.48,1.92,3.99,2.28,5.81,1.65,0.69,,3.9,0.62,2.77,5.73,4.89,5.15,0.59,3.73,3.8,1.84,3.9,3.47,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.38,2.04,5.12,3.81,1.08,5.1,1.45,1.78,3.39,1.87,5.02,3.66
April,,,,,2.65,2.77,0.58,3.6,2.42,3.23,0.99,3.21,2.12,2.13,1.28,2.86,0.97,5.66,,2.82,2.35,1.69,0.11,4.69,1.59,1.15,0.52,1.41,2.16,1.71,4.65,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,1.71,2.19,3.27,3.23,4.07,0.27,1.15,1.58,0.1,0.92,3.48,3.38
May,,,,,2.31,0.19,0.04,1.19,4.64,2.47,2.29,1.02,1.68,4.54,2.11,0.43,2.69,2.72,,1.25,2.84,1.69,1.77,3.16,1.38,2.19,2.85,2.33,1.33,1.12,1.75,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,2.88,2.13,4.18,3.72,2.15,2.64,3.71,0.45,2.03,3.17,0.95,2.19
June,,,,,1.62,1.92,3.05,2.13,2.47,0.98,2.72,0.57,3.4,3.76,1.15,3.15,2.92,2.37,,3.33,2.92,1.82,5.11,0.69,3.08,0.73,1.88,2.98,1.13,0.65,1.78,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,0.93,1.46,1.41,1.96,2.57,3.76,4.04,1.74,4.34,2.84,1.47,2.02
July,,,,,3.85,2.52,1.22,0.88,0.37,0.82,1.21,3.14,2.74,2.89,3.83,1.22,0.64,1.48,,1.41,2.93,0.16,2.8,0.72,5.81,4.19,0.62,2.84,4.39,2.37,4.89,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.66,5.44,2.06,2.06,2.46,2.82,2.5,3.6,3.33,2.9,1.77,4.03
August,,,,,2.97,2.87,2.1,4.38,1.44,1.59,3.24,2.13,4.33,4.29,3.11,4.96,1.71,1.75,,2.1,5.13,1.77,7.11,1.92,3.05,3.41,5.99,6.9,2.22,3.13,1.28,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,1.89,5.48,4.62,6.19,2.18,3.29,0.42,3.1,2.94,3.16,3.66,3.45
September,,,,,2.5,0.8,5.54,3.57,1.59,1.67,0.56,2.83,2.58,4.25,1.61,1.89,0.69,0.31,,2.26,0.29,0.75,1.27,1.77,2.46,1.27,2.89,1.65,6.31,1.98,1.07,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,2.93,4.9,4.52,3.8,4.24,3.56,1.61,6.73,3.63,5.42,0.13,5.14
October,,,,,4.78,4.37,2.6,1.28,5.38,2.45,3.56,2.46,2.88,7.11,1.26,1.4,5.57,9.12,,5.71,6.04,2.99,4.65,4.19,4.35,6.11,6.86,4.21,2.34,2.72,3.74,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,8.62,1.49,1.23,4.71,3.88,3.12,2.03,1.68,2.95,2.65,3.43,12.2
