HORNCASTLE - Early record,,,,,,,,
Grid ref,TF260696,Long,-0.115,Lat,53.209,Elevation,95,ft
Station no,RR1795,,,,,,,
,,,,,,,,
,1806,1807,1808,1809,1810,1811,1812,
January,3.49,1.50,0.93,3.50,1.14,1.02,1.50,
February,1.35,2.77,0.77,2.59,1.64,1.50,1.98,
March,2.25,1.69,0.42,0.82,1.71,1.26,4.39,
April,1.80,2.36,3.58,2.10,0.82,1.21,1.33,
May,0.60,2.80,1.65,1.59,2.40,3.10,1.27,
June,1.40,2.52,1.18,2.24,1.54,1.30,3.20,
July,3.37,2.25,2.50,2.87,3.50,1.45,2.72,
August,2.10,1.27,1.69,4.53,4.13,1.26,2.08,
September,1.86,1.45,1.53,3.90,0.10,2.47,1.08,
October,2.40,1.78,2.77,0.75,2.40,3.05,4.20,
November,3.50,3.83,3.20,1.70,5.23,1.85,2.21,
December,2.73,0.91,4.10,1.79,3.47,2.15,1.48,
Total,26.85,25.13,24.32,28.38,28.08,21.62,27.44,
,,,,,,,,
TYRain_1677-1886_B_pt2/020,,,,,,,,
TYRain_1677-1886_B_pt2/117,,,,,,,,
,,,,,,,,
# No detailed location information. Indicative grid reference is central Horncastle.,,,,,,,,
