HAMPSTEAD-THE-PRYORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ268861,Long,-0.17223964,Lat,51.559537,Elevation,327,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,3.18,0.95,4.65,1.32,2.44,0.32,0.86,1.45,2.48,2.36,1.52,3.86,1.46,0.91,0.88,2.45,1.95,0.64,1.48,2.88,1.96,0.8,1.86,0.79,2.46,2.77,0.53,,,,,,,,
February,,,,,,1.12,2.06,1.72,1.51,3.59,2.28,3.32,1.33,3.76,1.43,2.99,0.66,0.55,0.8,2.21,0.92,0,1.6,2.84,1.65,0.12,0.32,2.86,1.05,2.16,3.2,1.02,,,,,,,,
March,,,,,,0.75,2.38,2.28,0.66,1.33,0.84,2.31,1.46,0.76,1.5,1.44,1.6,1.45,3.79,1.48,1.78,1.64,1.02,0.37,1.45,1.41,3.78,3.18,1.02,0.5,0.7,1.75,,,,,,,,
April,,,,,,1.45,1.64,2.48,4.34,2.65,2.04,0.54,3.1,1.64,1.03,2.4,1.12,1.25,2.18,2.06,1.88,1.17,0.95,0.18,1.82,1.29,0.48,2.02,0.97,2.49,0.94,2.1,,,,,,,,
May,,,,,,1.64,0.7,2.03,3.83,3.35,0.3,1.24,1.15,1.87,0.92,2.44,4.58,1.62,1.18,3.91,1.21,2.57,1.53,0.79,1.71,0.4,0.16,1.25,2.19,1.39,1.08,1.05,,,,,,,,
June,,,,,,2.32,1.52,0.6,2.95,4.86,4.01,1.78,2.45,2.01,3.37,2.43,0.67,0.96,2.64,2.03,3.13,0.87,2.31,0.75,1.8,0.34,1.53,1.96,1.28,1.86,2.46,1.23,,,,,,,,
July,,,,,,4.63,0.69,3.63,0.69,4.46,5.64,2.16,2.7,2.43,2.14,0.35,2.81,1.22,4.94,3.41,4.65,3.7,1.71,1.86,2.99,3.81,1.06,0.66,0.71,1.31,1.23,4.9,,,,,,,,
August,,,,,,0.86,1.97,3.43,5.95,5.05,0.37,4.65,1.47,1.39,0.89,1.16,0.9,2.45,3.39,1.96,1.47,5.39,3.2,1.34,2.42,3.24,1.92,2.42,1.13,0.66,3.19,1.75,,,,,,,,
September,,,,,,2.5,3.1,0.99,1.17,3.17,4.13,2.24,2.68,3.57,1.64,4.9,1.78,2.24,1.65,1.73,0.7,1.24,2.31,1.18,1.07,1.27,6,3.42,0.34,2.72,0.97,1.7,,,,,,,,
October,,,,,,3.97,1.21,1.95,,0.83,5.18,2.88,5.11,1.76,1.09,3.62,2.64,1.33,1.2,4.06,1.35,5.26,3.85,3.96,4.24,2.88,2.98,0.61,3.26,2.22,1.81,2.04,,,,,,,,
November,,,,,,3.15,2.9,3.75,2.87,0.56,1.95,2.55,2.7,2.92,1.96,3.3,2.81,3.05,4.37,0.86,1.8,2.01,2.76,2.12,2.73,3.54,1.07,1.09,1.83,4.05,2.06,0.51,,,,,,,,
December,,,,,,1.11,6.84,1.73,,0.9,3.17,2.77,2.65,0.89,2.92,1.09,3.47,1.38,1.13,1.37,0.7,3.18,1.46,2.11,2.26,2.07,3.43,2.3,2.47,1.16,2.61,2.92,,,,,,,,
Total,,,,,,26.68,25.96,29.24,,33.19,30.23,27.3,28.25,25.48,21.25,27.64,26.9,18.96,28.18,25.96,22.04,28.98,23.34,18.98,27.02,22.33,23.53,23.63,17.04,22.98,23.02,21.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is The Pryors, altitudes match",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878 annual total is in brackets and a note says gauge was leaking and some readings are based on Squires Mount. Oct and Dec readings are the same as Squires Mount and have been deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Squires Mount and The Pryors are two locations in Hampstead, about 250m apart, where the observer was the same person, Rogers Field followed by Misses Field (daughters?). The records overlap and of the 300 overlapping monthly readings 11 are duplicated between the sites spread randomly over the years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
