HURSTPIERPOINT COLLEGE,,,,,,,,,,,,
Grid ref,TQ289176,Long,-0.166614,Lat,50.943440,,,,,,,
Station no,494/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.97,4.94,2.51,4.06,3.10,3.24,,
February,,,,,2.09,0.25,4.86,2.22,0.08,3.07,,
March,,,,3.56,1.24,0.46,1.41,1.80,1.95,1.93,,
April,,,,,0.31,1.52,0.20,0.79,2.85,0.85,,
May,,,,1.59,4.47,0.36,0.82,2.85,0.90,1.53,,
June,,,,4.94,1.89,2.36,1.77,4.02,0.89,1.92,,
July,,,,3.11,1.37,3.59,4.22,1.82,2.05,4.07,,
August,,,,,1.13,5.64,2.50,4.89,1.31,5.60,,
September,,,,,2.76,3.89,3.64,4.11,0.14,4.46,,
October,,,,2.65,3.46,1.11,1.45,4.05,3.03,7.13,,
November,,,,6.65,1.45,0.74,3.09,2.29,4.22,6.43,,
December,,,,3.00,3.27,5.89,2.41,5.12,8.44,3.48,,
Total,,,,,27.41,30.75,28.88,38.02,28.96,43.71,,
Calc annual,0.00,0.00,0.00,25.50,27.41,30.75,28.88,38.02,28.96,43.71,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
