HAWES - THE STONE HOUSE,,,,,,,,,,,,,,,,,,,
Grid ref,SD880909,Long,-2.186,Lat,54.314,Elevation,845,ft,,,,,,,,,,,
Station no,RR4597,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,3.06,4.44,6.12,4.29,7.45,8.60,3.69,6.17,8.01,8.50,12.10,6.03,5.93,4.88,6.37,7.22,5.80,12.89,1.84
February,8.42,3.31,4.48,8.07,7.26,7.59,0.95,8.60,1.57,5.50,0.26,5.00,7.62,1.13,7.70,4.85,2.54,8.10,0.93
March,2.88,5.45,8.79,5.51,1.33,4.89,3.00,1.88,5.62,5.90,6.12,4.49,2.66,2.08,2.13,3.13,4.03,4.67,0.58
April,2.93,0.78,6.58,2.47,2.66,3.29,2.76,1.58,2.50,6.79,1.44,3.18,3.97,2.34,6.28,2.50,4.22,1.06,1.90
May,2.18,3.58,2.86,2.61,1.24,2.80,2.37,2.26,1.74,6.74,2.58,1.68,4.65,6.86,5.49,2.57,2.35,1.83,3.04
June,4.36,5.25,2.96,2.64,1.73,2.23,2.78,1.01,1.12,1.66,0.36,2.38,1.50,2.45,0.07,2.80,3.45,7.69,1.67
July,0.50,4.51,1.05,2.06,4.79,4.65,1.50,5.50,2.28,7.75,2.40,5.15,4.52,5.75,1.12,4.37,4.99,2.40,3.56
August,3.57,6.02,1.72,3.03,3.49,2.57,9.24,3.80,3.59,2.83,5.84,3.44,7.46,3.04,4.33,4.60,8.67,9.05,5.65
September,3.26,2.99,3.00,3.15,0.83,2.77,3.69,10.04,3.28,2.22,2.54,5.09,5.18,5.75,3.48,4.59,6.66,1.29,2.14
October,5.00,4.79,2.14,1.79,0.71,12.15,7.76,5.52,4.01,3.47,3.72,1.87,8.87,5.39,5.84,4.51,6.79,8.08,6.19
November,7.82,4.42,6.66,9.05,2.94,6.06,5.72,3.86,6.08,4.31,2.55,2.35,9.50,4.15,2.96,8.94,5.99,8.48,9.94
December,9.58,8.00,4.75,11.80,9.19,4.32,2.81,8.30,8.13,6.21,10.63,8.08,4.77,9.73,6.83,1.39,2.32,4.62,11.12
Total,53.56,53.54,51.11,56.47,43.62,61.92,46.27,58.52,47.93,61.88,50.54,48.74,66.63,53.55,52.60,51.47,57.81,70.16,48.56
,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/270,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/160,,,,,,,,,,,,,,,,,,,
