SUNDERLAND THE CEDARS,,,,,,,,,,,,
Grid ref,NZ399554,Long,-1.379472,Lat,54.891754,,,,,,,
Station no,RR6326,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.33,1.71,1.27,2.75,1.57,0.29,2.92,0.36,1.14,0.52,,
February,6.05,1.77,1.30,0.82,2.84,0.67,1.17,1.20,1.32,1.51,,
March,2.54,2.14,0.66,1.14,1.19,1.49,1.20,1.03,2.57,4.85,,
April,1.00,1.03,1.59,1.69,1.07,2.72,0.84,2.30,2.82,2.31,,
May,1.22,2.28,2.35,2.90,2.84,0.59,5.21,4.51,1.26,1.63,,
June,3.93,1.59,2.38,3.00,1.76,0.79,1.17,2.78,0.66,2.50,,
July,2.00,2.73,2.94,4.70,1.49,0.98,0.97,1.52,2.56,2.41,,
August,5.51,2.83,1.94,2.21,2.94,2.88,2.14,2.51,1.25,2.96,,
September,0.75,1.03,0.56,2.62,0.60,1.83,0.42,0.35,1.53,1.95,,
October,7.55,1.95,2.42,8.07,0.74,3.40,5.58,3.41,0.97,2.16,,
November,2.86,5.34,1.51,1.98,2.81,4.92,3.01,1.57,1.22,1.25,,
December,2.51,2.87,2.76,2.72,2.06,0.33,2.55,2.77,1.15,3.85,,
Total,38.25,27.27,21.68,34.60,21.91,20.89,27.18,24.31,18.45,27.90,,
Calc annual,38.25,27.27,21.68,34.60,21.91,20.89,27.18,24.31,18.45,27.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
