SUNDERLAND THE CEDARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ400555,Long,-1.3778991,Lat,54.892645,Elevation,115,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,-999,1.71,1.27,2.75,1.57,0.29,2.92,0.36,1.14,0.52,2.46,1.53,2.54,4.14,1.57,2.32,0.67,2.7,2.15,2.73,2.73,3.67,2.34,0.96,1.83,1.62,2.08,1.12,,,
February,-999,1.77,1.3,0.82,2.84,0.67,1.17,1.2,1.32,1.51,2.43,0.73,2.17,0.36,0.87,2.83,1.83,0.77,0.92,1.76,1.25,0.1,1.77,3.35,2,2.84,2.05,0.69,,,
March,2.54,2.14,0.66,1.14,1.19,1.49,1.2,1.03,2.57,4.85,0.61,1.55,1.7,2.53,1.74,1.97,3.07,2.35,0.89,2.61,3.54,0.63,1.49,1.34,1.05,1.77,0.87,1.57,,,
April,1,1.03,1.59,1.69,1.07,2.72,0.84,2.3,2.82,2.31,2.14,1.21,0.15,3.08,0.53,0.57,1.46,2.36,0.84,1.67,3.09,1.16,1.53,1.64,1.78,2.7,0.82,1.45,,,
May,1.22,2.28,2.35,2.9,2.84,0.59,5.21,4.51,1.26,1.63,2.7,1.01,2.18,2.43,1.39,1.62,2.16,2.63,1.91,0.93,2.89,1.69,0.75,2.46,6.73,2.65,1.51,1.7,,,
June,-999,1.59,2.38,3,1.76,0.79,1.17,2.78,0.66,2.5,1.83,4.83,4.55,1.12,3.58,0.42,1.91,0.82,0.38,1.08,0.6,1.15,1.34,0.93,2.23,0.08,2.65,3.94,,,
July,-999,2.73,2.94,4.7,1.49,0.98,0.97,1.52,2.56,2.41,2.04,0.75,3.88,0.68,3.28,1.84,2.75,0.91,3.47,1.33,4.9,1.67,4.28,1.41,5.39,2.28,2.6,3.9,,,
August,5.51,2.83,1.94,2.21,2.94,2.88,2.14,2.51,1.25,2.96,2.88,2.24,4.12,0.76,1.81,2.12,2.51,6.25,0.94,2.05,1.71,4.72,2.32,3.42,2.49,2.88,2.29,5.8,,,
September,0.75,1.03,0.56,2.62,0.6,1.83,0.42,0.35,1.53,1.95,0.6,2.01,1.77,2.5,1.7,2,1.67,1.21,4.61,0.89,1.19,0.73,4.04,1.48,2.23,3,2.27,3.29,,,
October,7.55,1.95,2.42,8.07,0.74,3.4,5.58,3.41,0.97,2.16,2.53,2.3,3.54,1.68,1.63,1.49,2.44,1.94,1.81,5.48,2.39,1.75,1.55,2.1,3.91,1.97,2.71,1.9,,,
November,2.86,5.34,1.51,1.98,2.81,4.92,3.01,1.57,1.22,1.25,2.97,3.93,1.95,1.05,2.95,1.66,2.81,1.45,1.07,4.19,0.69,2.37,0.66,4.33,1.18,2.41,3.84,3.33,,,
December,2.51,2.87,2.76,2.72,2.06,0.33,2.55,2.77,1.15,3.85,2.03,2.97,1.28,1.18,2.76,5.7,2.87,2.75,3.09,2.63,3.05,1.49,3.59,2.31,1.86,3.28,0.52,3.22,,,
Total,38.25,27.27,21.68,34.6,21.91,20.89,27.18,24.31,18.45,27.9,25.22,25.06,29.83,21.51,23.81,24.54,26.15,26.14,22.08,27.35,28.03,21.13,25.66,25.73,32.68,27.48,24.21,31.91,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 Jan/Feb and June/July apportioned therefore convereted all to -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
