BRISTOL-SNEYD-PARK,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST562749,Long,-2.6319883,Lat,51.471359,Elevation,300,ft,,,,,,,,,,,,,
Station no,2186,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.79,1.98,4.32,2.86,2.8,0.67,3.37,3.38,,,
February,,,,,,,,,,,0.56,1.74,0.08,3.51,0.3,3.45,2.51,4.24,,,
March,,,,,,,,,,,2.7,0.96,2.48,3.15,2.29,0.69,2.94,3.11,,,
April,,,,,,,,,,,2.74,2.4,3.41,1.17,2.5,4.82,3.48,3.07,,,
May,,,,,,,,,,,1.59,3.84,6.48,2.07,1.59,0.94,0.86,2.43,,,
June,,,,,,,,,,,1.09,3.6,1.16,1.31,1.42,3.43,4.65,1.85,,,
July,,,,,,,,,,,2.96,5.04,3.27,1.85,0.84,1.45,4.9,4.28,,,
August,,,,,,,,,,,3.93,4.31,1.2,1.15,2.34,2.21,0.5,0.67,,,
September,,,,,,,,,,,3.79,3.1,5.99,2.95,2.49,8.32,3.15,1.96,,,
October,,,,,,,,,,,3.07,0.95,6.73,2.81,2.11,6.47,1.6,3.42,,,
November,,,,,,,,,,,6.2,4.02,2.02,0.62,1.26,4.96,4.38,1.98,,,
December,,,,,,,,,,,3.35,2.16,1.69,1.25,6.43,4.17,3.49,2.31,,,
Total,,,,,,,,,,,36.77,34.1,38.83,24.7,26.37,41.58,35.83,32.7,,,
