ABERDARE-ABERNANT-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO004031,Long,-3.4431693,Lat,51.717753,Elevation,450,ft,,,,,,,,,,,,
Station no,RR7448,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,3.01,8.59,2.59,7.12,10.79,4.36,,,,,
February,,,,,,,,,,1.06,9.47,6.2,5.87,4.49,10.62,,,,,
March,,,,,,,,,,5.47,2.39,2.41,11.7,11.31,9.64,,,,,
April,,,,,,,,,,,3.83,3.44,0.51,11.48,2.54,,,,,
May,,,,,,,,,,,3.14,2.31,1.6,3.95,2.91,,,,,
June,,,,,,,,,,,6.21,5.27,6.51,3.05,2.16,,,,,
July,,,,,,,,,,,4.63,0.39,5.98,0.7,6.13,,,,,
August,,,,,,,,,,,8.81,4.66,11.01,2.3,4.41,,,,,
September,,,,,,,,,,,0.38,4.3,1.19,3.34,2.49,,,,,
October,,,,,,,,,,,5.34,5.15,7.65,6.88,3.63,,,,,
November,,,,,,,,,,,7.69,11.01,4.94,8.79,7.61,,,,,
December,,,,,,,,,,,11.04,18.04,11.01,3.39,11.88,,,,,
Total,,,,,,,,,,,71.52,65.77,75.09,70.47,68.38,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1908 values removed as are direct duplicates of Aberdare-Mardy,,,,,,,,,,,,,,,,,,,,
