ST ALBANS COUNTY MUSEUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL150074,Long,-0.334,Lat,51.7542,Elevation,389,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.88,1.01,1.15,2.94,2.23,0.99,2.01,2.58,2.5,0.79,2.3,0.75,2.86,3.59,0.86,0.84,2.65,3.37,1.27,4.27,1.15,1.71,0.83,2.06,1.45,3.62,3.11,0.8,3.92,2.06,1.61,2.63,3.89,2.62,2.41,3.06,1.35,3.25,2.48,3.67,1.85,4.27,1.52,3.3,1.83,1.87,2.21,2.03,0.99,4.07,4.1,3.19,4.92,,2.19,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.64,1.3,1.98,0.79,0.05,1.52,3.36,1.86,0.18,0.46,2.56,1.1,2.39,4.87,1.39,1.22,1.15,3.37,0.91,2.59,1.64,1.28,0.54,3.5,1.71,2.11,0.95,3.49,4.39,3.88,1.08,1.15,3.11,0.43,0.2,2.74,3.8,0.46,4.16,2.67,3.52,1.8,0.67,1.21,1.62,0.23,1.53,0.42,2.42,2.33,3.94,0.57,0.84,,1.89,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.7,3.39,1.84,2.67,1.6,1.36,0.51,2.36,1.68,3.62,3.64,1.36,0.66,0.83,2.4,1.73,3.7,1.6,3.41,1.66,1.1,3.32,3.55,1.07,2.08,3.55,2.52,4.61,1.28,4.41,1.97,0.71,4.01,1.62,1.1,2.53,2.63,0.74,0.94,0.18,2.51,2.27,0.12,1.33,0.09,2.07,3,2.15,0.54,1.23,2.96,0.27,1.29,,2.59,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.22,1.91,2.47,1.35,0.87,0.87,0.14,2.19,1.32,0.87,1.77,1.48,2.54,1.29,2.55,0.78,1.63,1.18,2.48,0.53,2.83,2.95,1.96,1.5,1.45,0.07,3.51,0.83,1.08,1.41,2.03,4.24,3.85,4.18,1.7,3.65,1.66,3.16,1.19,2.87,2.03,0.9,1.19,2.34,3.13,2.46,1.17,1.63,3.72,1.38,2.67,0.13,3.75,,1.54,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.12,1.24,4.51,1.35,3.57,1.34,1.65,2.41,0.5,0.34,1.35,2.57,2.63,1.1,1.82,2.05,2.22,2.22,0.69,1.21,2.26,2.09,1.45,2.86,3.46,1.38,1.69,1.38,2.42,2.08,1.85,2.22,0.62,1.49,1.33,1.56,1.52,4.55,2.32,1.83,1.37,1.72,2.73,2.25,3.65,3.58,1.65,0.61,1.82,0.71,3.11,2.38,1.65,,1.79,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.65,3.79,1.45,2.76,2.07,2.54,0.72,1.94,0.39,1.6,2.66,1.76,1.69,2.95,0.81,3.34,6.32,0.95,3.88,2.85,2.54,1.3,4.02,3.39,2.06,3.21,0.61,1.76,1.43,2.97,1.62,0.94,1.22,2.12,0.15,1.15,0.55,2.43,0.09,3.39,3.72,1.78,1.13,0.43,1.26,1.05,1.36,1.49,3.24,5.6,2.15,0.38,1.66,,1.25,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.88,4.13,5.36,4.17,2.92,2.31,3.06,2.78,4.95,0.9,0.6,1,2.2,0.93,2.41,1.17,3.57,3.37,1.3,0.6,1.83,3.05,3.05,1.96,0.55,3.15,1.64,2,4.34,1.5,4.01,3.35,2.23,5.29,0.11,3.86,3.53,4.1,4.47,2.76,2.58,2.25,1.99,2.16,3.36,2.12,1.14,0.99,0.57,5.98,1.19,1.06,2.5,,3.76,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.07,3.53,2.16,1.98,4.29,3.7,2.1,3.78,4.12,2.42,2.89,1.19,0.79,3.11,2.22,4.15,3.82,2.28,2.96,1.7,1.7,3.17,2.13,2.64,0.91,5.48,1.04,1.73,2.89,3.88,5.11,1.27,3.06,1.48,1.29,2.69,1.98,2.02,2.95,0.71,4.36,1.81,0.64,2.74,4.59,2,0.56,1.99,1.62,0.37,0.85,2.13,2.65,,4.23,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.12,0.72,2.3,0.59,1.02,3.43,1.08,1.88,0.72,6.69,2.45,0.42,2.51,0.73,1.32,1.08,2.73,1.58,1.83,1.08,0.66,1.75,2.09,0.62,1.36,2.5,1.25,1.17,2.48,1.49,1.88,5.49,0.59,1.87,2.59,2.33,2.03,3.61,3.27,1.65,5.34,0.93,0.31,3.4,2.16,1.63,2.17,1.47,4.52,3.31,2.18,1.6,1.1,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.62,1.1,3.71,1.45,6.35,4.23,5.07,3.52,2.61,3.46,0.86,2.83,3.02,2.19,2.08,1.62,6.76,1.35,1.46,5.31,5,2.41,5.1,2.57,3,2.87,3.58,2.21,2.42,3.68,4.92,1.84,0.91,0.96,0.67,1.23,4.91,4,2.91,2.39,2.46,4.15,3.45,1.36,0.59,4.36,1.23,1.35,2.12,1.51,2.35,3.32,3.89,,0.99,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
