CROYDON-NANTWICH-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ336655,Long,-0.08142,Lat,51.3732,Elevation,259,ft,,,,,,,,,,,,
Station no,RR4857,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,5.57,1.15,2.61,0.4,1.11,1.2,1.92,2.49,1.95,3.11,1.64,0.83,1.09
February,,,,,,,,1.82,1.44,3.38,2.62,3.06,1.72,3.95,1.72,2.72,0.42,0.46,1,2.21
March,,,,,,,,2.25,1.3,0.54,0.61,1.49,0.83,0.97,1.63,1.69,1.29,1.74,2.92,2.06
April,,,,,,,,4.26,3.94,2.52,1.93,0.49,2.81,1.55,1.29,1.99,1.42,1.71,1.82,2.23
May,,,,,,,,2.36,3.48,3.6,0.37,0.91,0.87,1.94,0.62,3.08,4.26,1.46,0.92,3.02
June,,,,,,,,0.89,3.2,3.69,3.5,1.7,2.35,0.82,1.66,1.69,0.73,1.05,2.62,1.44
July,,,,,,,,2.63,0.6,3.7,2.96,1.74,2.3,2.19,1.59,0.25,2.33,1.44,7.35,2.96
August,,,,,,,,2.75,5.72,4.28,0.43,3.91,1.22,0.61,1.09,1.37,0.95,2.47,2.29,2.36
September,,,,,,,,1.72,1.02,3.18,4.5,2.01,2.49,3.11,2.34,4.18,1.78,2.4,0.85,1.16
October,,,,,,,,2.17,2.14,0.67,7.37,2.43,5.55,1.83,1.22,3.41,2.15,1.7,1.38,
November,,,,,,,,5.05,3.77,1.2,2.3,3.54,2.13,3.56,1.46,2.71,3.22,4.69,3.92,
December,,,,,,,,1.81,1.46,0.92,3.01,2.78,1.96,0.57,2.2,1.13,4.29,1.39,1.45,
Total,,,,,,,,33.28,29.22,30.29,30,25.17,25.43,23.02,19.31,26.17,25.95,22.15,27.35,
,,,,,,,,,,,,,,,,,,,,
Nantwich House Park Hill Rise,,,,,,,,,,,,,,,,,,,,
House not found but elevation locates it near Chepstow Road,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge 4ft above ground,,,,,,,,,,,,,,,,,,,,
