"LOCH LOCHY INVERGLOY",,,,,,,,,,,,
Grid ref,NN225883,Long,-4.920192,Lat,56.951794,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,13.84,8.85,7.30,8.25,,
February,,,,,,,6.81,7.46,6.29,3.35,,
March,,,,,,,7.23,6.25,6.13,0.41,,
April,,,,,,,3.10,2.64,2.37,2.89,,
May,,,,,,,3.46,3.83,3.53,3.45,,
June,,,,,,,1.64,5.59,4.17,0.72,,
July,,,,,,,6.98,2.49,3.12,3.97,,
August,,,,,,,5.47,5.70,5.22,1.96,,
September,,,,,,,4.52,2.45,5.64,0.86,,
October,,,,,,,6.56,2.96,1.40,8.47,,
November,,,,,,4.34,6.31,5.08,5.46,5.32,,
December,,,,,,6.76,9.15,6.53,8.36,5.39,,
Total,,,,,,,75.07,59.83,58.99,45.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,11.10,75.07,59.83,58.99,45.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,,
