"LOCH LOCHY (INVERGLOY)",,,,,,,,,,,,
Grid ref,NN225882,Long,-4.920122,Lat,56.950897,,,,,,,
Station no,5739,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.91,7.34,6.11,6.89,,,,,,,,
February,4.25,4.55,7.22,4.47,,,,,,,,
March,2.45,4.83,2.56,5.14,,,,,,,,
April,5.71,2.34,5.06,1.99,,,,,,,,
May,0.75,3.22,5.49,,,,,,,,,
June,2.72,3.20,2.21,,,,,,,,,
July,6.02,3.36,6.90,,,,,,,,,
August,6.37,3.52,6.60,,,,,,,,,
September,5.88,5.45,6.66,,,,,,,,,
October,2.82,7.96,6.59,,,,,,,,,
November,7.35,5.04,13.55,,,,,,,,,
December,10.98,8.71,8.13,,,,,,,,,
Total,63.21,59.52,77.08,,,,,,,,,
Calc annual,63.21,59.52,77.08,18.49,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
