PORTLAND-SECONDARY-MODERN-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY687717,Long,-2.44265,Lat,50.54487,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1550/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.63,5.4,3.24,5.2,3.45,3.87,4.02,6.71,2,2.13,3.2,3.85,,,0.67,3.05,2.11,0.76,1.67,3.09,,2.49,3.4,4.41,4.18
February,,,,,,3.33,5.71,0.82,1.85,4.65,3.45,0.59,0.86,0.44,2.11,2.67,2.02,,,4.83,5.72,1.21,1.53,2.84,2.22,,3.77,2.92,0.43,3.77
March,,,,,,3.49,3.96,0.33,1.1,3.48,2.21,2.19,0.98,0.24,1.03,1.46,7.66,,,1.29,4.89,3,0.6,3.81,1.42,,,1.62,3.17,2.81
April,,,,,,1.34,2.42,0.06,1.94,1.85,1.41,1.5,0.73,1.74,0.89,2.67,2.14,,,1.35,2.48,1.52,1.96,0.07,0.7,,,0.32,2.08,2.4
May,,,,,,0.51,3.09,1.27,1.03,1.4,2.86,4.46,2.21,0.32,2.44,3.5,1.96,,,1.22,2.87,2.48,3.05,1.1,3.04,,1.91,1.36,0.73,1.68
June,,,,,,1.55,0.61,0.17,2.3,0.29,2.48,0.56,0.93,1.58,2.74,3.43,2.35,,,1.39,0.42,1.34,1.31,2.55,2.47,,1.07,2.86,0.85,2.76
July,,,,,,3.28,4.08,1.8,3.13,2.11,,1.56,1.96,3.24,1.25,1.15,1.21,,,5.61,1.46,0.79,2.95,3.05,3.99,,2.85,,,3.33
August,,,,,,0.14,2.8,2.35,2.32,0,3.63,3.6,1.62,2,1.91,4.97,1.13,,,2.43,4.45,,1.38,2.58,1.27,,,,,5.15
September,,,,,,2.11,2.28,1.44,0.06,1.86,1.54,2.51,3.41,1.53,2.67,3.04,1.3,,,3.24,3.53,,2.32,2.89,1.31,,2.59,4.08,0,5.22
October,,,,,,1.48,3.55,2.79,6.56,5.27,,4.02,3.64,3.78,3.24,1.64,1.54,,,1.78,0.89,4.77,2.98,2.34,4.94,,2.3,2.71,2.69,9.14
November,,,,,,3.62,2.46,4.92,4.73,6.88,0.82,1.52,2.14,5.57,1.74,4.71,1.79,,,6.02,7.62,4.11,1.33,4.93,2.39,,,3.54,3.77,6.25
December,,,,,,2.74,3.06,3.19,1.81,1.71,2.19,3.99,3.13,2.26,4.94,3.39,3.27,,,3.18,2.54,2.8,0.58,3.41,5.32,,1.97,5.53,7.27,2.18
Total,,,,,,28.22,39.42,22.38,32.03,32.95,,30.52,28.32,24.7,27.09,35.83,30.22,,,33.01,39.92,,20.75,31.24,32.16,,,,,48.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Originally known as Tophill School It changed name to Portland Secondary Modern School in the 1950's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 July Oct Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Aug Sept Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Not printed Too much estimation and adjustment required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Mar Apr Nov Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Not printed Many omissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 July Aug Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 July Aug Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr 28th Inspection Site reasonably good Probably o/e due W Difficulties in getting monthly values during holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as PORTLAND SEC SCHOOL SRC_ID 8016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
