FYLINGDALES MOOR - HARWOOD DALE MILL,,,,,,,,
Grid ref,SE953960,Long,-0.535,Lat,54.351,Elevation,275,ft
Station no,RR6012,,,,,,,
,,,,,,,,
,1879,1880,1881,1882,1883,1884,1885,
January,1.35,0.54,1.57,2.42,1.88,3.11,2.62,
February,4.83,2.20,4.04,1.39,2.55,1.28,1.66,
March,1.07,1.96,2.51,1.88,1.77,2.45,1.97,
April,1.93,1.93,1.15,6.63,1.07,2.16,2.65,
May,4.36,2.01,1.66,1.78,2.78,0.73,2.84,
June,3.17,3.53,1.69,3.79,2.98,0.95,2.49,
July,4.75,5.10,3.53,2.29,4.48,1.69,0.79,
August,3.69,1.69,7.24,1.82,1.28,2.00,2.69,
September,1.54,3.17,6.02,2.21,5.45,1.87,3.20,
October,1.66,9.61,4.11,6.41,3.64,2.32,5.86,
November,3.52,3.20,2.77,4.52,3.25,1.88,2.04,
December,1.25,3.73,3.24,4.04,2.37,2.82,1.40,
Total,33.12,38.67,39.53,39.18,33.50,23.26,30.21,
,,,,,,,,
TYRain_1870-1879_08_pt3/040,,,,,,,,
TYRain_1880-1889_11_pt2/049,,,,,,,,
