NORTHAMPTON-ELLICK (WELLINGTON PLACE),,,,,,,,,,
Grid ref,SP753611,Long,-0.89859568,Lat,52.242944,Elevation,267,ft,,
Station no,RR7053,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,2.11,0.87,2.9,3.63,3.04,-999,
February,,,,0.29,1.16,2.21,3.08,1.56,-999,
March,,,,0.57,2.53,1.21,1.53,2.55,1.79,
April,,,,1.17,1.21,1.18,1.16,2.67,0.99,
May,,,,0.43,1.57,1.87,1.71,2.45,0.49,
June,,,,2.1,0.91,3.37,2.22,1.75,0.3,
July,,,,0.33,1,3.77,3.56,3.6,0.12,
August,,,,2,0.65,4.7,4.45,2.4,4.11,
September,,,,1.67,2.09,0,5.85,2.71,3.97,
October,,,,1.7,1.59,5.71,2.2,2.52,-999,
November,,,,1.99,1.94,1.93,-999,0.47,-999,
December,,,,1,2.14,3.16,-999,2.1,4.55,
Total,,,,15.36,17.66,32.01,33.93,27.82,24.6,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1866 Nov Dec -999 (4.54),,,,,,,,,,
1868 Jan Feb -999 (5.96),,,,,,,,,,
1868 Oct Nov -999 (2.32),,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
