LONGSIDE-MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE131007,Long,-1.8039718,Lat,53.502833,Elevation,1418,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2758/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.6,4.35,5.9,9.15,8.95,7.1,2.55,4.15,,9.06,10.54,6.68,7.81,4.79,14.59,4.71,4.35,7.13,7.2,3.42,5.63,4.87,7.6,4.98,6.7,5.92,7.12
February,,,,0.55,10.24,3,8.4,3.65,6.9,3.35,7.55,3.42,4.92,3.42,7.43,10.48,3.21,4.77,4.05,9.75,-999,,3.2,5.35,3.58,,4.94,8.7,1.1,3.5
March,,,,5.85,4.9,5.3,4.75,3.15,4.05,4.65,11,2.62,2.81,1.13,2.16,2.72,9,2.71,2.82,3.86,-999,3.34,3.8,4.49,4.6,3,4.94,4.5,3,3.2
April,,,,3.63,5.2,2.9,3.8,1.05,3.75,3.9,4.24,3.8,3.78,4.29,3.14,2.48,6.03,3.03,6.53,5.53,3.83,4.11,4.56,1.43,3.26,3.6,0.73,2.28,5.74,3.9
May,,,,4.75,0.81,2.15,3,4.75,2.9,0.95,4.27,4.74,4.03,4.43,4.13,2.41,4.45,2.93,3.45,3.09,4.05,,3.01,5.2,4.75,2.2,1.88,4.18,2.4,2.75
June,,,,2.67,3.96,5.15,3,5.85,3.5,1,2.19,1.15,4.24,4.48,5.48,5.07,3.64,6.26,1.23,2.94,1.42,,4.45,2.95,4.51,4.26,1.78,6.34,2.5,2.53
July,,,,4.67,3.2,5.55,3.7,4.85,9.1,6.15,2.75,6.68,3.08,3.89,1.65,6.44,3.12,2.36,3.45,3.76,4.15,3.09,7.85,7.68,1.46,11.1,6.02,5.37,3.35,8.35
August,,,,4.95,2.98,2.85,1.95,3.75,2.57,3.3,7.72,6.13,8.27,4.86,3.89,5.59,0.39,5.78,4.38,5.09,6.5,4.26,5.94,7.6,1.52,13,8.41,4.31,0.85,6.16
September,,,,3.67,8.6,7.8,1.85,2.65,2.73,5.95,0.95,4.41,6.01,7.58,2.78,8.61,2.83,3.11,2.43,-999,4.3,6.8,4.5,7.14,2.6,5.45,9.5,5.18,0.29,4.41
October,,,,7.95,14.31,7.9,4,14.65,4,6.4,7.09,9.24,3.23,6.38,8.87,2.38,1.69,4.42,5.52,-999,1.35,8.4,3.6,9.4,4.2,4.16,,4.7,4.45,8.96
November,,,,3.6,11.1,9.15,3.35,8.05,11.1,12.05,5.12,1.93,4.86,9.88,1.03,12.27,9.37,3.05,10.47,7.95,13.04,4.23,4.89,10.3,3.1,3.05,3.92,1.79,6.9,8.37
December,,,,7.32,4.6,6.55,4.45,6.32,4.6,5.9,4,5.56,3.27,5.86,4.63,5.27,7.74,4.66,11.46,3.3,10.48,4.71,3.02,10.53,7.7,7.92,8.1,5.75,11.5,6.87
Total,,,,55.21,74.25,64.2,51.4,67.67,62.3,56.15,61.03,,57.56,66.74,51.87,71.53,56.26,57.67,60.5,62.5,70.3,,52.24,77.7,46.15,,,59.8,48,66.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11886 LONGSIDE MOSS Start 1934 and still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Longside Moss. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 1947 and Feb/Mar 1955 estimated for snow and left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
